"BILLION CUBIC FEET PER DAY",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"NO",NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.4,2.0,2.4,2.4,2.3,2.3,2.5,2.5,2.5,2.7,2.7,2.8,2.5,2.4,2.5,2.4,2.6,2.7,3.6,4.2,4.3,4.7,4.8,5.2,6.3,7.1,7.6,8.2,8.5
"PL",NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4
"RO",NA,NA,NA,NA,NA,2.3,2.4,2.5,2.6,2.7,2.9,3.2,3.4,3.4,3.3,3.4,3.5,3.6,3.5,3.5,3.4,3.4,3.2,3.2,2.8,2.7,2.4,2.1,2.0,1.8,1.7,1.7,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.2,1.2,1.2
"RU",NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",41.7,45.4,49.1,53.1,55.6,57.9,58.0,57.6,55.8,54.8,53.7,54.1,51.5,53.3,53.3,52.6,52.5,53.7,56.0,57.0,57.9,59.2
"TM",NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7.5,7.6,8.0,7.9,8.1,7.9,7.6,5.4,5.9,3.2,2.9,3.2,1.6,1.2,2.1,4.2,4.6,4.8,5.3,5.2,5.7,6.0
"UA",NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.9,3.6,3.2,2.9,2.8,2.5,2.2,1.9,1.7,1.6,1.6,1.7,1.7,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.9,1.8
"GB",NA,NA,NA,NA,NA,1.0,1.7,2.4,2.6,3.2,3.3,3.5,3.7,3.5,3.5,3.4,3.4,3.4,3.5,3.4,3.8,4.0,4.2,4.1,4.0,4.4,4.9,5.0,5.9,6.3,6.9,8.1,8.3,8.7,9.6,10.5,10.2,10.0,10.0,9.3,8.5,7.7
"UZ",NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.1,3.5,3.6,3.6,3.7,3.7,3.8,3.9,4.1,4.3,4.4,4.4,4.6,4.9,5.0,5.1,5.2,5.2,5.2,5.4,5.3,5.4
"BP_04",NA,NA,NA,NA,NA,19.3,20.6,21.4,23.0,25.2,27.8,30.6,33.0,35.5,38.5,41.0,43.7,47.0,50.0,54.6,1.9,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.5,1.5,1.4,1.3,1.2,1.1,1.1,1.1,1.1,1.0,1.1,1.0,1.1
"BP_05",NA,NA,NA,NA,NA,27.9,31.3,34.5,37.8,41.7,45.0,49.0,51.9,54.9,58.8,61.0,63.9,66.0,69.4,74.3,80.1,83.3,87.5,90.1,92.8,94.4,94.8,91.9,91.4,87.8,87.5,91.2,87.0,88.6,90.4,92.6,93.6,95.7,99.1,101.9,102.6,103.8
"BH",NA,NA,NA,NA,NA,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1.0,1.1
"IR",NA,NA,NA,NA,NA,1.2,1.4,1.6,1.7,2.0,2.0,1.9,1.8,1.6,1.7,0.7,0.6,0.7,1.1,1.3,1.4,1.5,1.5,1.9,2.1,2.2,2.5,2.4,2.6,3.1,3.4,3.8,4.5,4.8,5.5,5.8,6.4,7.3,7.9,8.9,9.8,10.2
"KW",NA,NA,NA,NA,NA,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.4,0.5,0.4,0.4,0.4,0.4,0.6,0.5,0.7,0.8,0.4,0.0,0.3,0.5,0.6,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.8,0.9,1.1,1.2,1.2
"OM",NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.8,1.4,1.5,1.6,1.8,1.9,2.4
"QA",NA,NA,NA,NA,NA,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.4,0.5,0.4,0.5,0.5,0.6,0.5,0.6,0.5,0.6,0.6,0.6,0.7,1.2,1.3,1.3,1.3,1.3,1.7,1.9,2.1,2.3,2.6,2.9,3.0,3.8,4.4,4.8
"SA",NA,NA,NA,NA,NA,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.9,1.1,1.2,1.1,1.8,1.8,2.4,2.6,2.8,2.9,3.2,3.4,3.7,3.9,4.1,4.2,4.3,4.4,4.5,4.5,4.8,5.2,5.5,5.8,6.3,6.9,7.1
"SY",NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5
"AE",NA,NA,NA,NA,NA,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.4,0.6,0.6,0.7,0.9,0.9,0.8,1.1,1.3,1.5,1.6,1.7,2.0,1.9,2.3,2.1,2.2,2.5,3.0,3.3,3.5,3.6,3.7,3.7,3.8,4.2,4.3,4.5,4.5,4.6
"BP_06",NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.5,0.6,0.4,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.4,0.5
"BP_07",NA,NA,NA,NA,NA,1.9,2.1,2.4,2.7,3.1,3.2,3.3,3.5,3.8,4.5,3.6,3.8,4.1,4.4,5.7,6.2,7.4,7.9,9.0,9.9,9.8,10.1,11.0,11.9,13.0,14.4,15.2,17.0,17.8,18.7,20.0,21.8,23.7,25.1,28.1,30.7,32.5
"DZ",NA,NA,NA,NA,NA,0.2,0.3,0.3,0.4,0.5,0.6,0.8,0.7,1.2,1.9,1.4,1.6,2.1,3.1,3.0,3.3,3.5,4.0,4.2,4.5,4.8,5.1,5.3,5.4,5.0,5.7,6.0,6.9,7.4,8.3,8.1,7.6,7.8,8.0,7.9,8.5,8.2
