title         = ASCII CSV version of Natural Gas consumption data from the 2010 British Petroleum Statistical Review (worksheet 23)
file URL      = http://mazamascience.com/OilExport/BP_2010_gas_consumption_ft3.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2010_downloads/Statistical_Review_of_World_Energy_2010.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = billion cubic feet per day

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"BY","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.9,0.9,1.0,1.2,1.2,1.3,1.4,1.6,1.5,1.3,1.2,1.2,1.4,1.4,1.4,1.5,1.5,1.6,1.5,1.7,1.8,1.8,1.8,1.9,1.6
"BP_BELU",0.0,0.0,0.1,0.1,0.3,0.4,0.6,0.7,0.9,1.1,1.0,1.1,1.1,1.1,1.1,1.1,1.0,0.8,0.9,0.9,0.9,0.8,0.9,0.9,1.0,1.0,1.0,1.0,1.1,1.0,1.1,1.3,1.2,1.3,1.4,1.4,1.4,1.4,1.6,1.6,1.6,1.6,1.6,1.6,1.7
"BG",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.4,0.4,0.4,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2
"CZ",0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.9,0.9,0.9,0.8,0.8,0.8
"DK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4
"FI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3
"FR",0.5,0.6,0.6,0.8,0.9,1.0,1.2,1.4,1.7,1.8,1.8,2.0,2.2,2.2,2.5,2.5,2.6,2.6,2.4,2.5,2.5,2.6,2.7,2.5,2.6,2.8,3.0,3.0,3.1,3.0,3.2,3.5,3.3,3.6,3.7,3.8,4.1,3.9,4.2,4.3,4.3,4.1,4.1,4.2,4.1
"DE",0.3,0.3,0.4,0.7,1.0,1.5,1.9,2.5,3.2,4.0,4.2,4.5,4.8,5.1,5.6,5.5,5.3,4.9,5.1,5.3,5.3,5.3,5.7,5.6,5.8,5.8,6.1,6.1,6.4,6.6,7.2,8.1,7.7,7.7,7.8,7.7,8.0,8.0,8.3,8.3,8.3,8.4,8.0,7.8,7.5
"GR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.3
"HU",0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.9,1.0,1.0,0.9,1.0,0.9,0.9,0.8,0.9,0.9,1.0,1.1,1.0,1.1,1.1,1.0,1.2,1.1,1.3,1.3,1.3,1.2,1.2,1.1,1.0
