title         = ASCII CSV version of Natural Gas consumption data from the 2010 British Petroleum Statistical Review (worksheet 22)
file URL      = http://mazamascience.com/OilExport/BP_2010_gas_consumption_m3.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2010_downloads/Statistical_Review_of_World_Energy_2010.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = billion cubic meters per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"UA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",87.1,91.9,93.9,99.5,100.6,124.0,117.8,100.5,90.1,78.9,73.9,80.0,72.0,66.7,70.9,71.0,68.8,67.7,69.0,68.5,69.0,67.0,63.2,60.0,47.0
"GB",0.8,0.8,1.3,3.0,5.9,11.3,18.2,25.9,28.0,33.5,35.1,37.2,39.5,41.0,44.9,44.8,45.4,45.2,47.1,48.2,51.8,52.7,54.1,51.5,50.4,52.4,56.6,56.4,64.2,66.1,70.5,82.1,84.5,87.9,93.6,96.9,96.4,95.1,95.4,97.4,94.7,89.9,91.0,93.8,86.5
"UZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",31.9,30.8,32.2,31.8,33.6,35.7,36.0,36.2,39.5,40.1,41.1,42.0,44.1,45.6,47.8,45.7,49.6,50.9,45.8,43.4,42.7,41.9,45.9,48.7,48.7
"BP_OEE",116.6,130.1,143.3,154.8,165.5,182.1,199.1,209.6,228.0,241.8,263.8,290.2,310.9,331.7,352.4,363.6,384.8,416.0,446.1,486.8,21.0,21.4,23.4,26.4,28.1,26.8,23.7,21.2,15.7,13.6,13.5,13.3,14.5,14.4,12.7,13.2,14.5,13.6,14.1,15.6,15.8,16.3,16.9,16.3,14.0
"BP_TEE",155.9,174.8,196.1,221.8,252.7,290.9,332.4,368.1,408.8,446.7,480.9,527.8,559.4,590.3,624.6,637.4,657.0,681.8,718.0,772.2,825.5,848.0,890.3,917.3,942.5,974.7,985.7,948.2,946.0,905.4,914.1,960.8,921.7,945.4,967.8,984.6,1014.5,1018.3,1060.5,1089.4,1114.2,1121.4,1135.5,1138.5,1058.6
"IR",7.3,7.6,8.0,8.4,8.8,9.2,9.7,9.4,10.3,13.0,12.3,12.3,11.0,10.1,12.9,6.9,5.7,7.2,11.0,13.5,14.6,15.2,16.0,20.0,22.2,22.7,22.7,25.0,26.6,31.8,35.2,38.9,47.1,51.8,58.4,62.9,70.1,79.2,82.9,86.5,105.0,108.7,113.0,119.3,131.7
"KW",1.3,1.4,1.5,1.6,1.8,2.0,2.1,2.5,2.8,2.9,3.2,3.9,4.2,4.7,6.3,4.1,4.7,3.7,4.0,4.4,4.2,5.7,4.8,6.8,8.2,4.2,0.5,2.6,5.4,6.0,9.3,9.3,9.3,9.5,8.6,9.6,10.5,9.5,11.0,11.9,12.2,12.5,12.1,12.8,13.4
"QA",0.1,0.1,0.1,0.5,0.8,1.0,1.0,1.1,1.6,1.3,2.2,1.5,1.6,1.5,4.4,5.2,4.2,4.9,4.8,5.9,5.5,5.8,5.8,6.2,5.9,6.3,7.6,12.6,13.5,13.5,13.5,13.7,14.5,14.8,13.9,9.7,10.9,11.1,12.2,15.0,18.7,19.6,19.7,20.2,21.1
"SA",0.6,0.8,0.9,1.1,1.3,1.6,1.3,1.5,1.8,2.3,2.7,2.9,4.1,5.7,7.0,9.7,11.3,12.0,11.7,18.2,18.8,25.2,26.8,29.1,29.8,33.5,35.2,38.2,40.0,42.8,42.9,44.4,45.3,46.8,46.2,49.8,53.7,56.7,60.1,65.7,71.2,73.5,74.4,80.4,77.5
"AE",0.0,0.0,0.5,0.6,0.6,0.8,1.3,1.4,1.7,1.8,1.7,1.9,3.4,4.0,4.4,4.9,6.2,6.5,6.0,8.2,10.1,12.3,14.0,14.2,17.3,16.9,20.4,18.8,19.6,22.7,24.8,27.1,29.0,30.4,31.4,31.4,37.9,36.4,37.9,40.2,42.0,43.4,49.2,59.5,59.1
"BP_OME",0.8,1.0,0.9,1.0,1.4,1.5,1.8,1.9,2.5,2.8,3.4,4.1,3.6,4.2,5.3,4.5,3.8,5.1,5.3,5.8,7.3,8.5,8.7,11.0,12.3,12.1,11.8,13.6,14.3,15.4,16.7,17.4,19.9,21.6,22.5,23.4,23.7,24.7,25.0,27.8,30.1,33.8,34.7,39.7,42.9
"BP_TME",10.1,10.9,11.9,13.3,14.7,16.2,17.2,17.8,20.7,24.1,25.5,26.5,27.9,30.2,40.1,35.3,35.9,39.4,42.8,56.0,60.5,72.7,76.1,87.4,95.7,95.7,98.2,110.9,119.4,132.1,142.4,150.9,165.1,174.8,181.1,186.7,206.8,217.6,229.0,247.1,279.2,291.5,303.1,331.8,345.6
