title         = ASCII CSV version of Coal production data from the 2008 British Petroleum Statistical Review (worksheet 30)
file URL      = http://mazamascience.com/OilExport/BP_2008_CoalProduction.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/downloads/spreadsheets/statistical_review_full_report_workbook_2008.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"RO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,8.4,9.7,9.8,10.3,10.5,11.3,12.6,12.4,8.7,7.4,8.5,8.9,9.1,9.3,9.6,7.4,5.7,5.1,6.4,7.1,6.6,7.0,6.7,6.6,7.3,7.4
"RU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na","na","na","na",176.2,183.0,184.4,189.0,183.1,176.2,154.8,148.4,135.1,121.2,118.5,114.2,109.3,103.9,112.1,116.0,122.6,117.3,127.1,131.7,139.2,145.1,148.2
"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,13.0,13.2,13.4,13.4,13.4,11.8,11.0,11.9,11.9,11.2,11.4,11.0,10.6,10.2,10.0,9.8,9.3,8.6,8.0,7.6,7.2,6.8,6.7,6.4,6.2,6.0
"TR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,7.2,7.5,8.8,10.7,11.5,12.3,11.3,12.8,12.1,11.8,12.1,11.7,12.1,12.1,12.3,13.1,13.9,13.3,13.9,14.2,11.5,10.5,10.5,12.8,13.4,15.8
"UA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na","na","na","na",96.5,99.6,98.0,97.8,91.7,83.9,69.1,68.4,59.4,48.6,43.2,36.4,39.8,39.9,42.3,42.0,43.5,42.8,41.7,42.2,40.9,41.7,39.6
"GB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.7,73.8,70.5,29.8,54.9,63.6,61.3,61.4,59.1,54.7,55.8,50.0,40.3,28.3,31.8,30.2,29.4,25.0,22.5,19.0,19.4,18.2,17.2,15.3,12.5,11.3,10.4
"BP_OEE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369.0,372.5,368.2,363.0,28.1,28.2,26.6,24.6,24.7,24.8,21.3,19.3,17.4,13.9,14.1,13.4,15.9,16.7,13.4,14.0,14.4,15.3,15.8,15.6,14.7,15.6,16.9
"BP_TEE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,785.9,804.5,793.0,753.3,790.5,811.2,806.8,805.3,773.5,713.1,648.1,620.0,566.2,513.4,495.3,477.5,469.2,437.0,425.3,428.6,438.2,424.6,437.2,438.7,438.7,446.1,445.4
"BP_TME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.5,0.5,0.8,0.8,0.8,0.8,0.8,0.7,0.8,0.6,0.6,0.6,0.8,0.7,0.7,0.6,0.6,0.7,0.6,0.5,0.4,0.6,0.6,0.6,0.5,0.5
"ZA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.9,82.8,83.7,93.7,99.8,101.7,101.4,104.2,101.1,100.1,102.2,100.0,103.5,111.1,116.9,116.9,124.6,127.1,125.6,126.6,126.1,124.1,134.1,137.2,137.7,144.7,151.8
"ZW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.8,2.1,2.0,2.0,2.6,3.1,3.3,3.3,3.5,3.6,3.6,3.4,3.5,3.6,3.3,3.4,3.5,3.2,2.8,2.9,2.5,1.8,2.4,1.9,1.4,1.4
"BP_OAF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.3,1.2,1.4,1.4,1.4,1.4,1.4,1.3,1.4,1.4,1.4,1.3,1.4,1.4,1.3,1.2,1.4,1.3,1.2,1.2,1.3,1.2,1.2,1.1,1.1,1.1
"BP_TAF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.3,85.9,87.1,97.1,103.1,105.8,105.9,108.9,105.7,105.1,107.2,105.0,108.3,116.0,121.9,121.5,129.2,132.0,130.1,130.7,130.2,128.0,137.1,140.9,140.7,147.1,154.2
"AU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.1,66.5,69.5,73.0,88.3,93.4,97.8,96.0,104.6,109.0,113.4,120.0,121.1,123.3,129.4,133.9,148.3,149.8,160.8,166.3,179.9,184.5,190.1,198.8,206.5,211.0,215.4
"CN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309.9,336.1,359.9,397.6,439.8,450.1,466.8,492.8,530.2,542.6,546.7,560.9,580.4,624.7,686.3,703.2,690.0,628.7,645.9,656.7,697.6,733.7,868.4,1012.1,1119.8,1205.1,1289.6
"IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.9,62.3,65.9,69.2,71.4,76.8,84.2,89.5,97.4,91.9,98.6,104.4,108.2,109.8,117.7,126.7,126.3,126.5,124.4,132.2,133.6,138.5,144.4,155.7,162.1,170.2,181.0
"ID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.4,0.4,0.9,1.2,1.6,1.9,2.8,5.4,6.6,8.5,13.8,17.0,20.2,25.7,31.0,33.7,38.3,45.3,47.4,56.5,63.6,69.5,79.4,93.9,111.4,107.5
"JP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,10.9,10.2,9.9,9.6,9.4,7.5,6.4,5.8,4.6,4.4,4.2,4.0,3.8,3.4,3.6,2.4,2.0,2.2,1.7,1.8,0.8,0.7,0.7,0.6,0.7,0.8
"NZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.2,1.3,1.4,1.3,1.3,1.3,1.3,1.5,1.5,1.5,1.7,1.8,1.8,2.1,2.2,2.0,2.0,2.1,2.2,2.4,2.7,3.2,3.2,3.2,3.5,2.8
"PK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.8,0.8,1.0,1.0,0.9,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.4,1.5,1.5,1.4,1.5,1.6,1.5,1.5,1.6,1.7,1.6
"KR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,9.3,9.1,9.8,10.4,11.2,11.2,10.9,9.4,7.7,6.8,5.4,4.2,3.3,2.6,2.2,2.0,2.0,1.9,1.9,1.7,1.5,1.5,1.4,1.3,1.3,1.3
"TH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.6,0.6,0.7,1.4,1.5,1.9,2.0,2.6,3.6,4.2,4.4,4.6,5.2,5.5,6.3,6.9,6.1,5.7,5.1,5.6,5.7,5.3,5.6,5.8,5.3,5.1
"VN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,3.5,3.5,2.8,3.1,3.4,3.5,3.4,2.9,2.9,2.9,2.9,3.6,3.4,3.9,4.9,6.4,6.4,4.9,6.5,7.5,9.2,10.8,14.7,18.3,21.8,23.1
"BP_OAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8,30.4,30.8,31.6,33.0,32.7,32.2,31.7,31.1,29.3,28.4,25.3,23.2,21.6,20.2,17.9,17.2,15.7,18.0,19.3,19.7,19.0,19.6,20.8,22.1,21.4,22.1
"BP_TAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492.8,521.9,552.1,597.9,660.5,682.3,709.3,738.1,791.9,800.8,816.8,844.2,869.4,918.4,998.3,1033.5,1036.5,978.9,1012.8,1040.8,1107.8,1160.7,1315.0,1494.0,1635.2,1753.4,1850.2
"BP_WORLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1850.8,1914.9,1901.5,1989.4,2089.0,2138.7,2179.4,2231.4,2271.1,2245.5,2178.9,2173.1,2115.3,2170.5,2239.1,2276.3,2295.8,2226.8,2225.9,2247.1,2346.7,2357.8,2520.2,2729.0,2883.5,3034.5,3135.6
"BP_EU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,417.1,432.4,424.4,388.5,418.3,423.4,417.2,412.7,393.4,351.4,327.8,309.8,288.2,266.1,267.0,264.0,256.4,229.2,216.7,206.6,205.1,202.5,201.2,196.3,188.7,182.9,178.3
"BP_OECD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,984.4,1009.1,968.5,1007.9,1046.9,1060.9,1072.5,1082.8,1089.6,1079.7,1039.7,1021.6,967.2,996.4,1001.4,1020.3,1043.5,1036.0,1015.2,993.7,1026.9,1003.1,986.9,1012.4,1022.9,1036.6,1033.4
"BP_FSU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349.8,351.7,346.5,340.3,345.0,359.3,360.4,365.1,350.5,332.3,294.6,284.5,253.9,225.0,205.4,190.9,187.5,180.8,185.5,197.4,207.8,198.9,212.8,219.4,225.5,237.0,237.2
"BP_EMES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516.7,554.1,586.5,641.2,697.2,718.5,746.5,783.5,831.0,833.5,844.6,867.0,894.2,949.0,1032.3,1065.1,1064.8,1010.0,1025.3,1056.0,1112.1,1155.9,1320.5,1497.2,1635.1,1760.9,1864.9
