title         = ASCII CSV version of Electricity Generation data from the 2010 British Petroleum Statistical Review (worksheet 40)
file URL      = http://mazamascience.com/OilExport/BP_2010_electricity_generation.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2010_downloads/Statistical_Review_of_World_Energy_2010.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"FI","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",54.0,57.5,57.3,60.6,65.0,63.2,69.4,68.8,70.0,69.5,70.0,74.3,75.2,83.9,85.7,70.3,82.2,81.2,77.1,71.6
"FR","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",420.2,454.7,463.1,472.6,476.9,493.9,513.1,504.1,510.9,523.6,540.8,549.8,559.2,566.9,574.3,576.2,574.6,570.0,574.6,542.4
"DE","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",549.9,539.4,537.1,525.7,528.2,534.7,550.3,549.7,553.4,554.9,564.5,586.1,586.7,607.5,616.0,620.3,636.8,637.6,637.3,596.8
"GR","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",35.0,35.8,37.4,38.4,40.6,41.6,42.6,43.5,46.3,49.6,53.8,53.7,54.6,58.5,59.3,60.0,60.8,63.5,59.4,57.5
"HU","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",28.4,30.0,31.6,32.8,33.5,34.0,35.1,35.4,37.2,37.2,35.2,36.4,36.2,34.1,33.7,35.8,35.9,40.0,40.0,36.1
"IS","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",4.5,4.5,4.5,4.7,4.8,5.0,5.1,5.6,6.3,7.2,7.7,8.0,8.4,8.5,8.6,8.7,9.5,12.0,16.5,16.8
"IE","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",14.5,15.1,16.0,16.4,17.1,17.9,19.2,20.0,21.1,22.0,24.0,25.3,24.6,25.3,25.6,26.0,27.0,28.2,28.9,27.7
"IT","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",216.9,222.0,226.2,222.8,231.8,241.5,244.5,251.5,259.8,265.7,276.6,279.0,284.4,293.9,303.3,303.7,314.1,313.9,319.1,289.2
"KZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",87.4,86.0,83.2,77.9,66.8,66.7,58.7,52.0,49.8,47.3,51.6,55.6,58.7,63.9,66.9,67.9,71.7,76.6,80.0,78.8
"LT","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",28.4,29.4,18.7,14.1,10.0,13.8,16.8,14.9,17.6,13.5,11.4,14.7,17.7,19.5,19.3,14.8,12.5,14.0,14.0,15.3
"NL","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",71.9,74.3,77.2,77.0,79.6,81.0,85.0,86.6,90.8,86.7,89.5,93.7,96.3,96.7,102.4,100.4,98.8,105.2,108.2,112.2
"NO","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",121.8,111.0,117.5,120.1,113.5,123.2,104.8,111.6,117.0,122.7,143.0,121.9,130.6,107.3,110.6,138.1,121.7,137.7,142.7,132.8
"PL","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",136.4,134.7,132.7,133.9,135.3,139.0,143.2,142.8,142.8,142.1,145.2,145.7,144.1,151.6,154.2,156.9,161.7,159.3,156.2,151.7
"PT","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",28.5,29.9,30.1,31.2,31.4,33.3,34.5,34.2,39.0,43.3,43.8,46.5,46.1,46.9,45.1,46.6,49.0,47.3,45.8,50.7
"RO","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",63.8,56.9,54.2,55.5,55.1,59.3,61.4,57.1,53.5,50.7,51.9,53.9,54.9,56.6,56.5,59.4,62.7,61.7,65.0,57.5
"RU","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",1082.2,1068.0,1008.0,956.0,876.4,862.1,847.0,834.0,826.1,846.2,877.8,891.3,891.3,912.1,931.9,954.1,992.1,1018.7,1040.0,993.1
"SK","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",24.0,22.7,22.3,24.4,24.7,25.9,25.3,24.3,25.0,27.7,30.7,32.0,32.4,31.2,30.6,31.5,31.4,28.1,29.0,26.2
"ES","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",151.7,159.4,161.1,160.9,164.5,168.9,176.5,183.9,196.0,208.9,224.8,237.4,246.2,264.4,280.0,294.1,299.5,303.3,309.1,288.6
"SE","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",146.5,147.4,146.4,146.0,142.9,147.6,139.7,149.4,154.2,155.2,145.8,161.7,146.7,135.2,147.6,158.4,143.3,148.7,149.7,135.1
"CH","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",55.8,57.8,59.1,61.3,66.5,63.1,56.9,62.7,62.9,69.5,67.4,71.9,66.7,67.0,65.5,59.8,64.1,68.0,69.1,68.6
