title         = ASCII CSV version of Oil Production data from the 2008 British Petroleum Statistical Review (worksheet 5)
file URL      = http://mazamascience.com/OilExport/BP_2008_oil_production_mtoe.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/downloads/spreadsheets/statistical_review_full_report_workbook_2008.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"KW",119.0,125.6,126.4,133.1,140.9,151.8,162.5,167.3,153.8,129.9,106.3,109.9,100.8,108.8,129.6,86.8,58.6,42.7,55.0,60.7,55.5,59.4,52.1,63.0,68.4,46.8,9.2,54.0,96.6,103.4,104.9,105.1,105.1,110.0,102.6,109.1,105.8,98.2,114.8,122.3,129.3,132.4,129.6
"OM",0.0,0.0,2.8,12.0,16.2,16.4,14.6,14.0,14.5,14.4,16.9,18.2,16.8,15.6,14.6,14.1,16.3,16.7,19.3,20.8,24.8,27.9,29.0,30.9,32.1,34.2,35.3,37.0,38.8,40.5,42.8,44.4,44.9,44.7,45.0,47.6,47.5,44.5,40.7,37.5,38.9,37.2,35.5
"QA",11.6,14.5,16.1,17.0,17.7,18.1,21.4,24.1,28.4,25.8,21.8,24.3,21.7,24.1,25.2,23.7,20.7,16.9,15.3,17.1,15.3,17.3,15.3,17.6,19.7,21.1,20.4,23.6,21.8,21.3,21.8,27.1,33.3,33.6,34.3,36.1,35.7,35.2,40.8,46.0,47.3,50.9,53.6
"SA",111.0,130.8,141.3,154.2,162.7,192.2,240.8,304.2,384.0,429.7,359.3,437.3,468.4,424.4,488.0,509.8,506.3,340.2,240.3,219.0,172.1,252.6,221.1,276.5,271.1,342.6,428.4,442.4,432.8,437.2,438.4,446.7,454.5,455.7,423.6,456.3,440.6,425.3,485.1,506.0,526.8,514.3,493.1
"SY",0.0,0.0,0.0,1.0,2.6,4.2,5.3,5.8,5.5,6.4,9.6,10.0,9.1,8.9,8.3,7.9,8.2,7.7,8.0,8.1,7.9,10.0,11.5,13.4,16.9,20.2,23.5,25.6,28.1,28.0,29.6,29.2,28.7,28.6,28.8,27.3,28.9,27.2,26.2,24.7,22.4,20.9,19.6
"AE",13.7,17.4,18.5,24.2,29.0,36.9,53.6,63.1,70.5,79.0,82.1,94.1,96.8,88.6,88.7,84.2,74.0,64.9,60.8,60.0,58.5,73.4,74.5,75.6,94.9,107.5,124.3,118.2,114.3,116.0,111.1,114.7,120.1,123.5,117.4,123.1,118.2,108.4,122.2,124.7,129.0,139.0,135.9
"YE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.2,8.2,8.5,8.7,9.4,8.7,9.9,16.4,16.7,16.9,17.7,18.0,19.2,21.3,21.5,21.5,21.1,19.9,19.6,17.9,15.8
"BP_OME",3.0,3.3,3.6,3.9,3.9,3.9,3.8,3.5,3.4,3.4,3.1,2.9,2.9,2.8,2.6,2.7,2.6,2.5,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.4,2.5,2.5,2.5,2.4,2.4,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.2,1.6,1.4,1.4
"BP_TME",418.7,467.1,499.8,562.5,617.3,692.4,814.1,908.3,1055.0,1089.0,980.3,1113.2,1118.1,1064.5,1089.1,934.5,797.4,660.2,578.3,551.2,516.6,639.2,641.2,741.9,797.0,851.7,841.3,913.9,951.4,975.0,979.2,1001.6,1050.7,1111.3,1079.4,1141.2,1110.8,1039.4,1123.0,1193.1,1215.0,1223.5,1201.9
"DZ",26.5,33.9,39.1,42.9,44.8,48.2,37.1,50.1,50.9,47.4,45.8,50.6,54.1,57.7,57.5,51.8,46.8,46.8,45.9,49.5,50.0,51.8,52.6,53.6,54.7,57.5,57.7,56.6,56.7,56.4,56.6,59.3,60.3,61.8,63.9,66.8,65.8,70.9,79.0,83.6,86.4,86.2,86.1
"AO",0.7,0.6,0.5,0.8,2.5,5.1,5.7,7.1,8.2,8.5,7.8,7.6,7.1,6.5,7.2,7.4,7.2,6.4,8.8,10.1,11.5,13.9,17.5,22.3,22.6,23.4,24.5,27.2,24.8,27.4,31.2,35.4,36.5,36.0,36.7,36.9,36.5,44.6,42.5,48.2,61.2,69.7,84.1
"CM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.7,2.8,4.3,5.3,5.6,7.4,9.2,8.8,8.3,8.3,8.1,7.8,7.2,6.8,6.6,5.8,5.4,5.6,6.3,5.3,4.8,4.5,4.1,3.6,3.4,4.5,4.2,4.4,4.2
"TD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,8.8,9.1,8.0,7.5
"CG",0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.3,2.1,2.5,1.8,2.1,1.6,2.4,2.8,3.2,4.1,4.6,5.4,6.0,5.9,6.0,6.3,7.0,8.0,8.0,8.1,8.6,9.5,9.6,9.3,10.4,11.6,13.6,13.7,13.1,12.1,11.9,11.1,11.2,12.7,13.5,11.5
"EG",6.5,6.3,5.6,8.6,12.3,16.4,15.0,10.7,8.5,7.5,11.7,16.6,20.9,25.2,26.1,29.8,32.2,33.3,36.4,41.8,45.1,41.1,46.2,44.2,44.5,45.5,45.4,46.0,47.5,46.5,46.6,45.1,43.8,43.0,41.4,38.8,37.3,37.0,36.8,35.4,33.9,33.6,34.1
"GQ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.3,0.8,3.0,4.1,5.0,4.5,8.8,10.1,12.0,17.1,18.5,17.7,18.0
"GA",1.3,1.4,3.4,4.6,5.0,5.4,5.8,6.3,7.6,10.2,11.3,11.3,11.3,10.6,9.8,8.9,7.7,7.8,7.9,8.7,8.6,8.3,7.7,8.9,10.2,13.5,14.7,14.5,15.2,16.8,17.8,18.2,18.2,16.8,17.0,16.4,15.0,14.7,12.0,11.8,11.7,11.7,11.5
