title         = ASCII CSV version of Natural Gas consumption data from the 2008 British Petroleum Statistical Review (worksheet 24)
file URL      = http://mazamascience.com/OilExport/BP_2008_gas_consumption_mtoe.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/downloads/spreadsheets/statistical_review_full_report_workbook_2008.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"BP_BELU",0.1,0.1,0.5,1.3,2.6,4.2,5.8,6.7,8.2,9.8,9.6,10.3,10.1,9.9,10.3,10.3,9.5,7.8,8.2,8.5,8.4,7.6,8.5,8.4,9.4,9.5,9.0,9.0,9.9,9.7,10.6,11.8,11.3,12.4,13.3,13.4,13.2,13.4,14.4,14.9,14.9,15.3,15.2
"BG",0.1,0.1,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0.4,1.0,1.7,2.2,2.3,2.5,3.2,3.5,3.8,4.0,4.2,4.6,4.6,5.1,5.0,5.7,5.3,4.5,3.9,3.7,3.7,4.5,4.6,3.7,3.1,2.7,2.9,2.7,2.4,2.5,2.5,2.7,2.7,2.8
"CZ",0.3,0.3,0.4,0.5,0.6,0.8,0.9,1.0,1.0,1.3,1.4,1.6,2.0,2.3,2.6,3.3,3.1,3.2,3.3,3.7,3.7,4.1,4.4,4.4,4.6,4.9,5.3,5.2,5.3,5.7,6.5,7.6,7.7,7.7,7.7,7.5,8.0,7.8,7.8,8.2,8.6,8.9,8.0
"DK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,1.0,1.3,1.6,1.7,1.8,2.1,2.2,2.5,2.7,3.1,3.7,3.9,4.3,4.5,4.4,4.6,4.6,4.7,4.7,4.5,4.6,4.1
"FI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,0.8,0.7,0.8,0.8,0.8,0.6,0.6,0.6,0.7,0.8,1.0,1.4,1.4,1.9,2.3,2.4,2.5,2.6,2.8,2.9,3.0,2.9,3.3,3.3,3.4,3.7,3.6,4.0,3.9,3.6,3.8,3.7
"FR",5.0,5.3,5.9,7.1,8.5,9.3,11.1,13.2,15.7,17.2,17.0,19.0,20.4,20.9,23.3,23.6,24.5,24.0,22.2,23.5,23.3,24.2,25.0,23.6,24.4,26.4,27.5,28.3,29.0,27.8,29.6,32.5,31.2,33.3,33.9,35.7,37.5,37.5,39.0,40.1,41.3,39.7,37.7
"DE",2.6,3.1,4.1,6.7,9.5,13.5,17.8,23.1,29.8,37.3,39.3,41.6,44.2,47.4,52.4,51.7,49.4,45.8,47.6,49.8,49.2,49.0,53.2,52.3,53.6,53.9,56.6,56.7,59.8,61.1,67.0,75.2,71.3,71.7,72.1,71.5,74.6,74.3,77.0,77.3,77.6,78.5,74.5
"GR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.2,0.8,1.3,1.8,1.8,1.9,2.2,2.4,2.5,2.9,3.6
"HU",0.9,1.3,1.7,2.1,2.6,2.7,2.9,3.1,3.6,3.8,4.4,5.3,5.7,6.2,6.5,7.0,7.2,7.5,7.5,7.6,8.6,9.1,9.1,8.8,9.2,8.7,8.6,7.4,8.1,8.4,9.2,10.2,9.7,9.8,9.9,9.7,10.7,10.6,11.6,11.5,11.9,11.3,10.6
"IS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"IE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,1.1,1.7,1.8,1.9,2.0,1.4,1.4,1.7,1.9,1.9,1.9,1.9,2.2,2.2,2.3,2.7,2.8,2.8,3.0,3.4,3.6,3.7,3.7,3.6,3.5,4.0,4.3
