title         = ASCII CSV version of Natural Gas production data from the 2009 British Petroleum Statistical Review (worksheet 19)
file URL      = http://mazamascience.com/OilExport/BP_2009_gas_production_m3.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2009_downloads/statistical_review_of_world_energy_full_report_2009.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = billion cubic meters per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"KZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",4.9,5.2,5.7,6.4,6.1,6.4,7.1,7.3,6.1,4.1,5.3,5.9,7.3,7.2,9.0,10.4,10.5,10.2,12.6,20.0,22.6,23.9,26.4,30.2
"NL","na","na","na","na","na",26.7,36.9,49.2,59.8,70.8,76.7,82.0,82.3,75.3,79.0,76.4,70.9,60.6,64.6,65.4,68.4,62.6,62.7,55.3,60.5,61.0,69.0,69.4,70.8,66.9,67.8,76.7,67.9,64.8,60.2,58.1,62.4,60.3,58.1,68.5,62.5,61.6,60.5,67.5
"NO","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,14.2,20.7,25.1,25.0,24.0,23.6,26.0,26.2,26.1,28.2,28.3,28.7,25.5,25.0,25.8,24.8,26.8,27.8,37.4,43.0,44.2,48.5,49.7,53.9,65.5,73.1,78.5,85.0,87.6,89.7,99.2
"PL","na","na","na","na","na",4.9,5.0,5.3,5.4,5.2,5.4,5.9,6.2,6.6,5.9,5.0,4.5,4.1,4.0,4.4,4.6,4.2,4.2,4.2,3.8,2.6,3.0,2.8,3.6,3.4,3.5,3.6,3.6,3.6,3.4,3.7,3.9,4.0,4.0,4.4,4.3,4.3,4.3,4.1
"RO","na","na","na","na","na",23.3,24.9,25.5,27.0,27.9,30.3,33.0,35.0,35.2,33.6,34.7,36.6,37.0,36.7,36.4,34.8,35.2,33.5,32.8,29.4,28.3,24.5,21.8,20.6,18.7,18.0,17.2,15.0,14.0,14.0,13.8,13.6,13.2,13.0,12.8,12.4,11.9,11.5,11.5
"RU","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",418.1,455.2,492.6,533.8,557.3,580.1,581.9,579.5,559.3,549.5,538.8,544.3,516.7,534.8,534.6,528.7,526.2,538.8,561.4,573.3,580.1,593.8,592.0,601.7
"TM","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",75.3,76.7,79.7,79.9,81.4,79.5,76.3,54.4,59.1,32.3,29.2,31.9,15.7,12.0,20.6,42.5,46.4,48.4,53.5,52.8,57.0,60.4,65.4,66.1
"UA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",38.8,35.9,32.2,29.3,27.9,25.4,22.1,19.0,17.4,16.5,16.5,16.7,16.9,16.3,16.4,16.2,16.6,16.9,17.5,18.5,18.8,19.1,19.1,18.7
"GB","na","na","na","na","na",10.5,17.4,25.1,27.2,32.8,34.2,36.2,37.8,36.2,36.6,34.8,34.7,35.3,36.4,35.6,39.7,41.7,43.7,42.1,41.2,45.5,50.6,51.5,60.5,64.6,70.8,84.2,85.9,90.2,99.1,108.4,105.8,103.6,102.9,96.4,88.2,80.0,72.1,69.6
"UZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",31.3,34.9,36.0,36.1,37.2,36.9,37.9,38.7,40.8,42.7,43.9,44.3,46.4,49.6,50.3,51.1,52.0,51.9,52.0,54.2,54.0,54.5,59.1,62.2
"BP_OEE","na","na","na","na","na",193.5,207.2,216.1,230.6,252.9,278.9,307.7,331.8,356.7,386.9,412.5,438.8,471.4,502.3,549.5,19.2,17.7,17.8,17.3,17.8,16.3,16.5,16.2,16.5,15.8,15.9,14.6,13.3,12.3,11.5,11.2,11.0,11.3,10.7,11.1,10.7,11.5,10.8,10.3
"BP_TEE","na","na","na","na","na",281.9,317.5,350.6,382.6,423.1,456.5,497.8,527.2,557.0,595.3,618.5,642.3,662.6,697.7,749.3,805.5,840.8,883.2,910.3,935.3,951.2,956.0,929.1,922.3,885.9,883.1,924.5,879.6,895.8,914.7,939.2,946.7,967.6,1001.7,1032.5,1038.2,1050.7,1053.3,1087.3
"BH","na","na","na","na","na",0.6,0.9,1.1,1.6,2.0,2.1,2.2,2.4,2.6,2.9,2.3,2.2,3.4,3.6,3.7,4.5,5.2,5.0,5.3,5.5,5.8,5.5,6.5,6.9,7.1,7.2,7.4,8.0,8.4,8.7,8.8,9.1,9.5,9.6,9.8,10.7,11.3,11.8,13.4
"IR","na","na","na","na","na",12.9,14.3,16.3,17.8,20.7,20.3,20.0,18.9,16.9,17.9,7.1,6.0,7.2,11.0,13.5,14.6,15.2,16.0,20.0,22.2,23.1,25.8,25.0,27.1,31.8,35.3,39.0,47.0,50.0,56.4,60.2,66.0,75.0,81.5,84.9,103.5,108.6,111.9,116.3
"KW","na","na","na","na","na",2.0,2.1,2.5,2.8,2.9,3.2,3.9,4.2,4.7,6.3,4.1,4.7,3.7,4.0,4.4,4.2,5.7,4.8,6.8,8.2,4.2,0.5,2.6,5.4,6.0,9.3,9.3,9.3,9.5,8.6,9.6,10.5,9.5,11.0,11.9,12.2,12.5,12.1,12.8
"OM","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.7,0.8,0.9,1.1,1.4,1.8,2.1,2.3,2.3,2.4,2.6,2.6,2.9,2.8,2.9,4.1,4.4,5.0,5.2,5.5,8.7,14.0,15.0,16.5,18.5,19.8,23.7,24.1,24.1
"QA","na","na","na","na","na",1.0,1.0,1.1,1.6,1.3,2.0,1.1,1.6,1.5,4.4,4.7,4.3,5.1,5.2,5.9,5.5,5.8,5.6,5.9,6.2,6.3,7.6,12.6,13.5,13.5,13.5,13.7,17.4,19.6,22.1,23.7,27.0,29.5,31.4,39.2,45.8,50.7,63.2,76.6
"SA","na","na","na","na","na",1.6,1.3,1.5,1.8,2.3,2.7,2.9,4.1,5.7,7.0,9.7,11.3,12.0,11.7,18.2,18.8,25.2,26.8,29.1,29.8,33.5,35.2,38.2,40.0,42.8,42.9,44.4,45.3,46.8,46.2,49.8,53.7,56.7,60.1,65.7,71.2,73.5,74.4,78.1
"SY","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.4,0.4,0.8,1.4,1.5,1.8,1.8,1.8,2.0,2.5,2.6,4.1,5.3,5.4,5.5,5.0,6.1,6.2,6.4,5.5,5.7,5.6,5.5
"AE","na","na","na","na","na",0.8,1.5,1.5,1.7,1.7,1.7,1.9,3.9,5.7,6.1,7.5,8.9,9.5,8.4,11.0,13.2,15.2,16.9,17.4,20.4,20.1,23.8,22.2,23.0,26.9,31.3,33.8,36.3,37.1,38.5,38.4,44.9,43.4,44.8,46.3,47.8,49.0,50.4,50.2
"BP_OME","na","na","na","na","na",0.9,1.0,1.1,1.0,0.9,1.4,1.9,1.2,1.3,1.8,1.4,0.8,0.8,0.5,0.6,0.9,1.6,3.8,5.6,6.6,4.2,1.9,2.4,2.8,3.4,3.4,3.5,3.3,3.2,3.4,3.4,3.0,2.6,1.8,2.5,3.4,4.1,4.1,4.1
"BP_TME","na","na","na","na","na",19.9,22.2,25.1,28.3,31.8,33.3,33.9,36.3,38.8,46.9,37.7,38.9,42.6,45.6,58.8,63.6,76.3,81.5,93.3,102.6,101.3,104.7,114.3,123.3,136.3,149.5,158.2,175.7,185.0,194.7,208.1,233.3,247.2,262.9,285.1,319.9,339.1,357.6,381.1
"DZ","na","na","na","na","na",2.5,2.7,3.4,4.5,5.2,6.4,8.1,7.7,11.9,19.6,14.2,16.9,21.9,31.6,31.5,34.3,36.5,41.2,43.0,46.4,49.3,53.2,55.3,56.1,51.6,58.7,62.3,71.8,76.6,86.0,84.4,78.2,80.4,82.8,82.0,88.2,84.5,84.8,86.5
