title         = ASCII CSV version of Natural Gas consumption data from the 2010 British Petroleum Statistical Review (worksheet 24)
file URL      = http://mazamascience.com/OilExport/BP_2010_gas_consumption_mtoe.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2010_downloads/Statistical_Review_of_World_Energy_2010.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"IS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"IE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,1.1,1.7,1.8,1.9,2.0,1.4,1.4,1.7,1.9,1.9,1.9,1.9,2.2,2.2,2.3,2.7,2.8,2.8,3.0,3.4,3.6,3.7,3.7,3.7,3.5,4.0,4.3,4.5,4.3
"IT",7.3,8.2,8.7,9.7,11.2,12.3,12.5,12.3,14.4,15.8,18.0,22.0,21.6,22.5,22.9,22.9,22.8,22.0,22.6,26.5,27.2,28.9,32.2,34.2,36.9,39.1,41.5,41.1,42.1,40.8,44.9,46.4,47.8,51.5,56.0,58.4,58.5,58.1,64.1,66.5,71.2,69.7,70.0,70.0,64.5
"KZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",7.5,9.1,9.5,9.9,10.3,10.9,11.5,11.8,11.3,9.0,9.4,7.9,6.2,6.1,7.0,8.6,8.4,9.6,11.6,13.4,16.9,18.2,17.5,18.1,17.7
"LT","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",3.8,3.8,3.9,4.1,4.4,5.0,4.9,2.7,1.5,1.8,2.1,2.3,2.4,2.1,2.2,2.5,2.5,2.6,2.8,2.8,2.9,2.9,3.3,2.9,2.5
"NL",1.3,2.5,4.3,7.3,10.8,15.2,19.8,25.8,28.7,30.5,31.8,33.1,33.2,33.3,33.1,30.3,28.8,27.5,29.4,31.3,32.9,32.9,33.9,30.7,31.4,31.1,34.8,33.8,34.9,33.7,34.6,38.2,35.9,35.6,34.7,35.1,36.0,35.8,36.0,36.8,35.3,34.3,33.3,34.7,35.0
"NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.7,0.7,0.9,0.9,1.1,1.0,1.1,1.2,1.3,1.6,1.8,1.9,2.2,2.3,2.4,2.6,2.7,2.9,3.3,3.4,3.2,3.6,3.4,3.6,3.9,4.1,4.0,4.0,3.8,3.9,3.7
"PL",1.5,1.8,2.1,2.9,4.1,5.2,5.7,6.0,6.3,6.4,6.9,7.3,7.8,8.2,8.6,8.8,8.3,8.3,8.5,8.8,8.9,9.5,9.8,9.7,9.5,8.9,7.9,7.8,8.1,8.2,8.9,9.5,9.4,9.5,9.3,10.0,10.4,10.1,10.1,11.8,12.3,12.3,12.3,12.5,12.3
"PT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,2.0,2.1,2.3,2.8,2.7,3.4,3.8,3.7,3.9,4.2,3.9
"RO",13.7,14.8,16.3,17.3,20.1,20.8,22.3,22.6,23.9,24.7,26.8,29.5,31.3,32.4,31.2,32.4,34.0,34.6,34.5,34.3,31.9,32.5,31.9,32.0,31.9,27.7,22.3,22.8,22.7,21.8,21.6,21.8,18.0,16.8,15.5,15.4,14.9,15.5,16.5,15.7,15.8,16.3,14.5,14.4,12.2
"RU","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",315.4,319.0,337.4,356.1,361.4,366.8,376.4,364.3,363.3,341.3,329.9,331.7,305.9,318.5,317.5,318.6,329.6,330.9,346.4,354.7,360.2,367.7,379.9,374.4,350.7
"SK",0.3,0.3,0.4,0.5,0.6,0.8,0.9,1.0,1.0,1.3,1.4,1.6,2.0,2.3,2.6,3.3,3.1,3.2,3.3,3.7,4.2,4.3,4.3,4.4,4.6,5.3,4.9,4.9,4.6,4.5,5.1,5.5,5.6,5.7,5.8,5.8,6.2,5.8,5.7,5.5,5.9,5.4,5.1,5.2,5.1
"ES",0.0,0.0,0.0,0.0,0.1,0.1,0.4,1.0,1.0,1.3,1.3,1.5,1.4,1.5,1.4,1.8,2.1,2.3,2.5,2.0,2.1,2.5,2.7,3.5,4.5,5.0,5.5,5.9,5.8,6.5,7.5,8.4,11.1,11.8,13.5,15.2,16.4,18.8,21.3,24.7,29.1,30.3,31.6,34.8,31.1
"SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.4,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.8,0.7,0.6,0.7,0.7,0.7,0.7,0.8,0.9,0.8,1.0
"CH",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.5,0.5,0.6,0.7,0.8,0.9,0.9,1.0,1.1,1.2,1.3,1.3,1.4,1.4,1.5,1.6,1.8,1.9,2.0,2.0,2.2,2.4,2.3,2.4,2.4,2.4,2.5,2.5,2.6,2.7,2.8,2.7,2.6,2.8,2.7
