title         = ASCII CSV version of Natural Gas consumption data from the 2008 British Petroleum Statistical Review (worksheet 23)
file URL      = http://mazamascience.com/OilExport/BP_2008_GasConsumption.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/downloads/spreadsheets/statistical_review_full_report_workbook_2008.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = billion cubic feet per day

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"BD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,1.0,1.0,1.1,1.2,1.3,1.4,1.5,1.6
"CN",0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1.0,1.2,1.3,1.4,1.4,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.5,1.5,1.5,1.5,1.6,1.7,1.7,1.8,1.9,2.0,2.1,2.4,2.7,2.8,3.3,3.8,4.5,5.4,6.5
"HK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3
"IN",0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.3,0.3,0.4,0.4,0.6,0.7,0.8,1.0,1.2,1.3,1.4,1.5,1.6,1.8,2.0,2.2,2.4,2.4,2.5,2.6,2.7,2.9,3.1,3.5,3.6,3.9
"ID",0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.5,0.6,0.7,0.7,0.7,0.6,0.9,1.0,1.2,1.3,1.3,1.4,1.6,1.6,1.9,2.0,2.2,2.6,2.7,2.8,3.0,2.9,3.1,2.9,3.1,3.3,3.4,3.4,3.2,3.4,3.3
"JP",0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.7,0.8,1.0,1.2,1.7,2.0,2.3,2.3,2.4,2.6,3.4,3.7,3.8,3.9,4.1,4.3,4.7,4.9,5.1,5.1,5.5,5.6,6.0,6.2,6.4,6.7,7.0,7.2,7.0,7.7,7.4,7.6,8.1,8.7
"MY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.6,0.8,0.7,0.8,0.9,1.0,1.1,1.1,1.3,1.3,1.3,1.7,1.6,1.7,1.6,2.3,2.5,2.6,2.6,2.4,2.8,2.9,2.7
"NZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.6,0.5,0.4,0.4,0.3,0.3,0.4
"PK",0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.8,0.9,0.9,0.9,1.0,1.0,1.1,1.1,1.2,1.3,1.4,1.5,1.5,1.7,1.7,1.8,1.9,1.9,1.9,2.1,2.2,2.3,2.2,2.4,2.6,2.9,3.0,3.0
"PH",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.2,0.3,0.3,0.3
"SG",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.5,0.5,0.6,0.6,0.6,0.6
"KR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.8,1.0,1.3,1.6,1.5,1.8,2.0,2.2,2.5,2.6,3.0,3.3,3.4,3.6
