title         = ASCII CSV version of Coal production data from the 2010 British Petroleum Statistical Review (worksheet 31)
file URL      = http://mazamascience.com/OilExport/BP_2010_coal_production_mtoe.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2010_downloads/Statistical_Review_of_World_Energy_2010.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"CZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",42.7,43.1,43.8,44.5,43.9,43.8,43.6,42.5,40.7,36.7,33.9,31.4,30.8,28.1,27.3,27.0,27.9,26.0,23.1,25.0,25.4,24.3,24.2,23.5,23.5,23.7,23.5,21.2,20.6
"FR","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",12.6,12.2,11.6,11.5,10.2,10.2,10.1,9.2,8.7,8.1,7.7,7.1,6.6,5.7,5.3,5.2,4.3,3.6,3.3,2.3,1.5,1.1,1.3,0.4,0.2,0.2,0.2,0.1,0.1
"DE","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",146.3,146.5,137.8,139.6,144.8,139.6,135.3,134.3,128.4,117.3,102.0,93.3,83.7,77.8,74.6,70.0,66.9,61.3,59.4,56.5,54.1,55.0,54.1,54.7,53.2,50.3,51.5,47.7,44.4
"GR","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",3.5,3.6,4.0,4.3,4.8,5.1,6.0,6.3,7.1,7.1,6.9,7.0,7.2,7.4,7.5,7.2,7.7,8.1,8.0,8.2,8.5,9.1,9.0,9.1,9.0,8.3,8.6,8.3,8.1
"HU","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",5.9,6.0,5.8,5.7,5.5,5.3,5.2,4.8,4.6,4.0,3.9,3.6,2.8,2.9,2.6,3.2,3.3,3.0,3.1,2.9,2.9,2.7,2.8,2.4,2.0,2.1,2.0,1.9,1.9
"KZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",68.0,72.2,73.9,74.0,71.4,67.7,66.9,65.0,57.3,53.5,42.6,39.3,37.3,36.0,30.0,38.5,40.7,37.8,43.3,44.4,44.2,49.1,50.0,56.8,51.8
"PL","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",98.1,112.8,115.4,117.4,118.0,119.4,120.8,120.7,111.1,94.5,90.7,89.2,89.2,89.3,91.1,94.5,92.1,79.6,77.0,71.3,71.7,71.3,71.4,70.5,68.7,67.0,62.3,60.5,56.4
"RO","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",8.5,8.4,9.7,9.8,10.3,10.5,11.3,12.6,12.4,8.7,7.4,8.5,8.9,9.1,9.3,9.6,7.4,5.7,5.1,6.4,7.1,6.6,7.0,6.7,6.6,6.5,6.7,6.7,5.7
"RU","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",176.2,183.0,184.4,189.0,183.1,176.2,154.8,148.4,135.1,121.2,118.5,114.2,109.3,103.9,112.1,116.0,122.6,117.3,127.1,131.7,139.2,145.1,148.0,153.4,140.7
"ES","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",11.8,13.0,13.2,13.4,13.4,13.4,11.8,11.0,11.9,11.9,11.2,11.4,11.0,10.6,10.2,10.0,9.8,9.3,8.6,8.0,7.6,7.2,6.8,6.7,6.4,6.2,6.0,4.2,4.1
"TR","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",6.9,7.2,7.5,8.8,10.7,11.5,12.3,11.3,12.8,12.1,11.8,12.1,11.7,12.1,12.1,12.3,13.1,13.9,13.3,13.9,14.2,11.5,10.5,10.5,12.8,13.4,15.8,17.2,17.4
"UA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",96.5,99.6,98.0,97.8,91.7,83.9,69.1,68.4,59.4,48.6,43.2,36.4,39.8,39.9,42.3,42.0,43.5,42.8,41.7,42.2,41.0,41.7,39.9,41.3,38.3
"GB","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",75.7,73.8,70.5,29.8,54.9,63.6,61.3,61.4,59.1,54.7,55.8,50.0,40.3,28.3,31.8,30.2,29.4,25.0,22.5,19.0,19.4,18.2,17.2,15.3,12.5,11.3,10.3,11.0,10.9
"BP_OEE","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",369.0,372.5,368.2,363.0,28.1,28.2,26.6,24.6,24.7,24.8,21.3,19.3,17.4,13.9,14.1,13.4,15.9,16.7,13.4,14.0,14.4,15.3,15.8,15.6,14.7,15.7,16.7,17.3,15.5
"BP_TEE","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",785.9,804.5,793.0,753.3,790.5,811.2,806.8,805.3,773.5,713.1,648.1,620.0,566.2,513.4,495.3,477.5,469.2,437.0,425.3,428.6,438.2,424.6,436.7,438.2,438.2,444.9,446.3,452.6,420.4
"BP_TME","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.4,0.5,0.5,0.8,0.8,0.8,0.8,0.8,0.7,0.8,0.6,0.6,0.6,0.8,0.7,0.7,0.6,0.6,0.7,0.8,0.7,0.8,0.7,0.8,0.8,0.9,1.0,1.0,1.0
"ZA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",74.9,82.8,83.7,93.7,99.8,101.7,101.4,104.2,101.1,100.1,102.2,100.0,103.5,111.1,116.9,116.9,124.6,127.1,125.6,126.6,126.1,124.1,134.1,137.2,137.7,138.0,139.6,142.4,140.9
"ZW","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",1.9,1.8,2.1,2.0,2.0,2.6,3.1,3.3,3.3,3.5,3.6,3.6,3.4,3.5,3.6,3.3,3.4,3.5,3.2,2.8,2.9,2.5,1.8,2.4,1.9,1.4,1.4,1.1,1.1
"BP_OAF","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",1.5,1.2,1.1,1.3,1.3,1.4,1.3,1.3,1.3,1.3,1.4,1.4,1.3,1.3,1.3,1.2,1.1,1.4,1.3,1.2,1.2,1.3,1.5,1.2,1.1,1.1,1.0,1.0,1.0
"BP_TAF","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",78.2,85.8,87.0,97.0,103.1,105.7,105.8,108.8,105.6,105.0,107.2,105.0,108.2,116.0,121.8,121.4,129.1,132.0,130.1,130.6,130.1,127.9,137.4,140.8,140.7,140.4,141.9,144.5,143.0
"AU","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",65.1,66.5,69.5,73.0,88.3,93.4,97.7,95.9,104.5,109.0,113.4,120.0,120.9,123.3,129.5,133.6,148.1,149.8,160.6,166.5,180.2,184.3,189.9,198.5,205.8,210.3,217.2,220.3,228.0
"CN","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",309.9,336.1,359.9,397.6,439.8,450.1,466.8,492.8,530.2,542.6,546.7,560.9,580.4,624.7,686.3,703.2,690.0,628.7,645.9,656.7,697.6,733.7,868.4,1012.1,1120.0,1205.1,1282.4,1425.6,1552.9
"IN","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",62.9,62.3,65.9,69.2,71.4,76.8,84.2,89.5,97.4,91.9,98.6,104.4,108.2,109.8,117.7,126.7,126.3,126.5,124.4,132.2,133.6,138.5,144.4,155.7,162.1,170.2,181.0,195.6,211.5
"ID","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.2,0.4,0.4,0.9,1.2,1.6,1.9,2.8,5.4,6.6,8.5,13.8,17.0,20.2,25.7,31.0,33.7,38.3,45.3,47.4,56.5,63.6,70.3,81.4,93.9,119.2,133.4,140.8,155.3
"JP","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",11.1,10.9,10.2,9.9,9.6,9.4,7.5,6.4,5.8,4.6,4.4,4.2,4.0,3.8,3.4,3.6,2.4,2.0,2.2,1.7,1.8,0.8,0.7,0.7,0.6,0.7,0.8,0.7,0.7
"NZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",1.2,1.2,1.3,1.4,1.3,1.3,1.3,1.3,1.5,1.5,1.5,1.7,1.8,1.8,2.1,2.2,2.0,2.0,2.1,2.2,2.4,2.7,3.2,3.2,3.2,3.5,3.0,3.0,2.8
"PK","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.7,0.8,0.8,1.0,1.0,0.9,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.4,1.5,1.5,1.4,1.5,1.6,1.5,1.5,1.6,1.7,1.6,1.8,1.6
"KR","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",9.1,9.3,9.1,9.8,10.4,11.2,11.2,10.9,9.4,7.7,6.8,5.4,4.2,3.3,2.6,2.2,2.0,2.0,1.9,1.9,1.7,1.5,1.5,1.4,1.3,1.3,1.3,1.2,1.1
"TH","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.5,0.6,0.6,0.7,1.4,1.5,1.9,2.0,2.6,3.6,4.2,4.4,4.6,5.2,5.5,6.3,6.9,6.1,5.7,5.1,5.6,5.7,5.3,5.6,5.8,5.3,5.1,5.0,5.3
"VN","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",3.4,3.5,3.5,2.8,3.1,3.4,3.5,3.4,2.9,2.9,2.9,2.9,3.6,3.4,3.9,4.9,6.4,6.4,4.9,6.5,7.5,9.2,10.8,14.7,18.3,21.8,22.4,23.0,25.2
"BP_OAP","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",28.8,30.4,30.8,31.7,33.0,32.7,32.2,31.7,31.1,29.3,28.4,25.3,23.2,21.6,20.2,18.0,17.2,15.7,18.1,19.6,20.1,19.6,20.6,22.4,24.7,25.1,23.3,27.1,29.0
"BP_TAP","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",492.9,521.9,552.2,598.0,660.5,682.3,709.2,738.0,791.9,800.9,816.8,844.2,869.3,918.4,998.3,1033.2,1036.3,978.9,1012.6,1041.3,1108.4,1161.0,1316.5,1497.2,1637.3,1764.3,1871.5,2044.2,2213.3
"BP_WORLD","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",1851.6,1915.8,1902.7,1991.0,2090.8,2139.6,2181.0,2233.1,2273.1,2247.4,2180.9,2175.0,2117.0,2172.5,2241.3,2278.2,2297.8,2225.4,2224.6,2246.7,2346.5,2357.7,2521.1,2731.0,2882.0,3035.9,3144.0,3336.9,3408.6
"BP_EU1","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",417.1,432.4,424.4,388.5,418.3,423.4,417.2,412.7,393.4,351.4,327.8,309.8,288.2,266.1,267.0,264.0,256.4,229.2,216.7,206.6,205.1,202.5,200.7,195.8,188.1,181.5,177.6,168.3,158.4
"BP_OECD","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",985.2,1010.0,969.8,1009.6,1048.7,1061.8,1074.1,1084.5,1091.7,1081.7,1041.7,1023.6,969.0,998.4,1003.6,1022.2,1045.6,1034.6,1013.7,992.9,1026.2,1002.1,985.7,1010.7,1019.6,1035.0,1035.4,1037.9,976.9
"BP_FSU","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",349.8,351.7,346.5,340.3,345.0,359.3,360.4,365.1,350.5,332.3,294.6,284.5,253.9,225.0,205.4,190.9,187.5,180.8,185.5,197.4,207.8,198.9,212.8,219.4,225.6,237.0,239.0,252.9,232.1
"BP_EMES","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",516.6,554.0,586.4,641.2,697.1,718.5,746.5,783.5,830.9,833.4,844.6,867.0,894.2,949.0,1032.2,1065.1,1064.7,1009.9,1025.4,1056.4,1112.5,1156.7,1322.6,1501.0,1636.8,1763.8,1869.6,2046.2,2199.6
