title         = ASCII CSV version of Natural Gas consumption data from the 2009 British Petroleum Statistical Review (worksheet 22)
file URL      = http://mazamascience.com/OilExport/BP_2009_gas_consumption_m3.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2009_downloads/statistical_review_of_world_energy_full_report_2009.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = billion cubic meters per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"RO",15.3,16.4,18.1,19.2,22.3,23.2,24.8,25.1,26.6,27.4,29.8,32.8,34.8,35.9,34.6,36.0,37.8,38.4,38.3,38.1,35.5,36.1,35.5,35.6,35.4,30.8,24.7,25.4,25.2,24.2,24.0,24.2,20.0,18.7,17.2,17.1,16.6,17.2,18.3,17.5,17.6,18.1,16.1,14.5
"RU","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",350.4,354.5,374.9,395.7,401.5,407.6,418.2,404.8,403.6,379.2,366.5,368.6,339.9,353.8,352.8,366.0,361.5,377.3,381.2,389.9,393.0,419.2,425.7,420.2
"SK",0.3,0.4,0.4,0.5,0.7,0.8,1.0,1.1,1.1,1.4,1.5,1.8,2.2,2.5,2.9,3.6,3.5,3.6,3.7,4.1,4.7,4.7,4.8,4.9,5.1,5.9,5.4,5.5,5.2,5.0,5.7,6.2,6.3,6.4,6.4,6.5,6.9,6.5,6.3,6.1,6.6,6.0,5.7,5.7
"ES",0.0,0.0,0.0,0.0,0.1,0.1,0.4,1.2,1.1,1.4,1.4,1.7,1.6,1.6,1.6,2.0,2.3,2.5,2.7,2.2,2.4,2.8,3.0,3.9,5.0,5.6,6.1,6.5,6.5,7.2,8.3,9.3,12.3,13.1,15.0,16.9,18.2,20.8,23.6,27.4,32.4,33.7,35.1,39.0
"SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.5,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.8,0.9,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.9,1.0,1.0
"CH",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.4,0.6,0.6,0.7,0.8,0.8,1.0,1.0,1.1,1.2,1.3,1.4,1.4,1.5,1.6,1.7,1.8,2.0,2.1,2.2,2.2,2.4,2.6,2.5,2.6,2.7,2.7,2.8,2.8,2.9,3.0,3.1,3.0,2.9,3.1
"TR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,1.2,3.2,3.4,4.1,4.5,5.0,5.3,6.8,7.9,9.7,10.3,12.4,14.6,16.0,17.4,20.9,22.1,26.9,30.5,35.1,36.0
"TM","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",8.4,13.6,13.5,13.7,14.1,9.5,9.3,9.1,9.1,9.9,7.8,9.7,9.8,10.0,11.0,12.2,12.5,12.9,14.2,15.0,16.1,18.4,21.3,19.0
"UA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",87.1,91.9,93.9,99.5,100.6,124.0,117.8,100.5,90.1,78.9,73.9,80.0,72.0,66.7,70.9,71.0,68.8,67.7,65.8,71.0,70.9,65.1,62.7,59.7
"GB",0.8,0.8,1.3,3.0,5.9,11.3,18.2,25.9,28.0,33.5,35.1,37.2,39.5,41.0,44.9,44.8,45.4,45.2,47.1,48.2,51.8,52.7,54.1,51.5,50.4,52.4,56.6,56.4,64.2,66.1,70.5,82.1,84.5,87.9,93.6,96.9,96.4,95.1,95.4,97.4,94.7,90.1,90.9,93.9
