title         = ASCII CSV version of Nuclear consumption data from the 2009 British Petroleum Statistical Review (worksheet 34)
file URL      = http://mazamascience.com/OilExport/BP_2009_nuclear_consumption_mtoe.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2009_downloads/statistical_review_of_world_energy_full_report_2009.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"BY","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BP_BELU",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.3,2.7,2.8,2.6,2.8,2.9,3.5,5.5,6.3,7.8,8.9,9.5,9.8,9.3,9.7,9.7,9.8,9.5,9.2,9.4,9.8,10.7,10.4,11.1,10.9,10.5,10.7,10.7,10.7,10.8,10.5,10.9,10.4
"BG",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1.1,1.3,1.3,1.4,1.4,2.1,2.4,2.8,2.9,3.0,2.7,2.8,3.6,3.3,3.3,3.0,2.6,3.2,3.5,3.9,4.1,4.0,3.8,3.6,4.1,4.4,4.6,4.5,4.4,4.2,4.4,3.3,3.6
"CZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.4,2.4,2.7,2.8,2.8,2.7,2.8,2.9,2.9,2.8,2.9,2.8,3.0,3.0,3.1,3.3,4.2,5.9,6.0,5.6,5.9,5.9,6.0
"DK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"FI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7,1.5,1.6,3.3,3.8,4.0,4.3,4.3,4.3,4.4,4.4,4.3,4.3,4.4,4.3,4.5,4.4,4.3,4.5,4.8,5.0,5.3,5.1,5.2,5.4,5.5,5.5,5.5,5.4,5.6,5.4
"FR",0.2,0.4,0.7,0.8,1.1,1.3,2.1,3.3,3.3,3.3,4.1,3.6,4.1,6.9,9.0,13.9,23.8,24.6,32.6,43.3,50.7,57.5,60.1,62.4,68.8,71.1,75.0,76.6,83.3,81.5,85.4,89.9,89.5,87.8,89.2,94.0,95.3,98.8,99.8,101.7,102.4,102.1,99.7,99.6
"DE",0.0,0.1,0.3,0.5,1.2,1.5,1.4,2.2,2.7,3.3,5.5,6.7,9.3,9.9,11.8,12.6,14.8,16.8,17.7,23.6,31.4,29.5,32.1,35.5,36.6,34.5,33.4,35.9,34.7,34.2,34.9,36.6,38.5,36.6,38.5,38.4,38.8,37.3,37.4,37.8,36.9,37.9,31.8,33.7
"GR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"HU",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.9,1.5,1.7,2.5,3.0,3.1,3.1,3.1,3.2,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,2.5,2.7,3.1,3.0,3.3,3.4
"IS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"IE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"IT",0.8,0.9,0.7,0.6,0.4,0.7,0.8,0.9,0.7,0.7,0.8,0.9,0.8,1.0,1.1,1.1,1.2,2.1,1.9,1.5,1.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"KZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"LT","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",2.1,2.2,2.1,2.9,3.8,3.9,3.8,3.3,2.8,1.7,2.7,3.2,2.7,3.1,2.2,1.9,2.6,3.2,3.5,3.4,2.3,2.0,2.2,2.2
"NL",0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.3,0.7,0.7,0.8,0.8,0.8,0.7,0.9,0.8,0.8,0.8,0.8,0.9,1.0,0.8,0.8,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,1.0,0.9
"NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"RO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.3,1.3,1.3,1.7,2.5
"RU","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",22.5,23.8,28.2,30.5,30.9,26.8,27.2,27.1,27.0,22.1,22.5,24.7,24.5,23.6,27.1,29.5,31.0,32.1,33.6,32.7,33.4,35.4,36.5,36.9
"SK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.5,1.0,1.2,1.3,1.4,1.6,2.1,2.7,2.6,2.6,2.8,2.7,2.6,2.5,2.7,2.7,2.6,2.6,2.4,2.6,3.0,3.7,3.9,4.1,4.0,3.9,4.0,4.1,3.5,3.8
"ES",0.0,0.0,0.0,0.0,0.2,0.2,0.6,1.1,1.5,1.6,1.7,1.7,1.5,1.7,1.5,1.2,2.2,2.0,2.4,5.2,6.3,8.5,9.3,11.4,12.7,12.3,12.6,12.6,12.7,12.5,12.5,12.7,12.5,13.4,13.3,14.1,14.4,14.3,14.0,14.4,13.0,13.6,12.5,13.3
