title         = ASCII CSV version of Coal consumption data from the 2010 British Petroleum Statistical Review (worksheet 32)
file URL      = http://mazamascience.com/OilExport/BP_2010_coal_consumption_mtoe.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2010_downloads/Statistical_Review_of_World_Energy_2010.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"FR",45.1,41.3,41.8,40.0,39.8,37.8,33.8,29.5,29.4,30.3,26.5,30.0,29.8,30.5,28.5,27.7,25.1,28.6,25.3,25.2,23.0,19.6,17.9,17.1,19.6,19.1,20.1,17.9,14.7,13.7,14.5,15.4,13.4,16.1,14.3,13.9,12.1,12.4,13.3,12.8,13.3,12.1,12.3,11.9,10.1
"DE",163.5,152.7,147.1,149.2,153.6,151.7,144.5,140.1,141.2,139.6,128.3,134.4,130.9,132.3,139.5,139.6,141.3,140.1,141.0,147.4,147.6,143.4,141.3,140.1,138.2,129.6,113.3,104.4,97.9,95.5,90.6,89.9,86.8,84.8,80.2,84.9,85.0,84.6,87.2,85.4,82.1,83.5,85.7,80.1,71.0
"GR",2.1,2.1,2.0,2.3,2.2,2.5,3.7,4.0,4.7,4.9,6.5,7.6,8.1,7.2,4.0,4.0,3.9,4.0,4.9,5.2,6.0,5.8,6.6,7.4,7.9,8.0,7.8,8.4,7.9,8.4,8.2,7.8,7.6,8.8,9.1,9.2,9.3,9.8,9.4,9.0,8.8,8.1,8.5,8.1,7.9
"HU",10.9,10.5,9.1,9.0,9.1,9.2,8.9,8.7,8.7,8.3,7.9,8.0,8.2,8.2,8.2,8.1,8.1,8.5,8.0,7.7,7.6,7.5,7.5,7.1,6.3,5.6,5.8,4.6,4.0,3.6,3.6,3.7,3.7,3.4,3.4,3.2,3.4,3.1,3.4,3.1,2.7,2.9,2.9,2.8,2.5
"IS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"IE",2.2,2.5,2.6,3.1,2.9,0.9,0.7,0.7,0.8,0.8,0.5,0.5,0.5,0.6,0.8,0.7,0.9,0.9,1.0,1.0,1.1,1.5,2.2,2.2,2.2,2.1,2.0,1.9,1.9,1.7,1.8,1.9,1.8,1.9,1.6,1.8,1.9,1.8,1.7,1.8,1.8,1.6,1.5,1.4,1.3
"IT",8.6,9.0,9.8,9.5,9.8,9.9,9.5,8.9,9.0,9.8,9.8,9.7,9.6,9.8,10.7,12.6,12.9,14.4,13.5,15.3,15.1,14.8,14.7,13.8,14.4,14.1,13.7,12.4,10.0,10.7,12.5,11.2,11.0,11.6,11.6,13.0,13.7,14.2,15.3,17.1,17.0,17.1,17.2,16.7,13.3
"KZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",38.1,40.1,41.6,43.4,41.4,40.2,38.2,39.9,36.4,34.5,27.5,25.9,22.4,22.9,19.8,23.2,22.5,22.8,25.2,26.5,27.2,28.1,30.8,34.0,33.0
"LT","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.6,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"NL",9.5,8.6,8.3,7.6,6.7,4.8,3.6,3.1,3.1,2.9,2.5,3.2,3.2,3.1,3.3,3.9,4.1,5.4,5.3,6.7,7.0,6.8,7.1,8.4,8.2,9.5,8.2,7.7,8.2,9.0,9.8,9.3,9.5,9.4,7.7,8.6,8.5,8.9,9.1,9.1,8.7,8.5,9.0,8.5,7.9
