"BILLION CUBIC FEET PER DAY",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"BG",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.4,0.4,0.4,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"CZ",0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.8,0.8
"DK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"FI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
"FR",0.5,0.6,0.6,0.8,0.9,1.0,1.2,1.4,1.7,1.8,1.8,2.0,2.2,2.2,2.5,2.5,2.6,2.6,2.4,2.5,2.5,2.6,2.7,2.5,2.6,2.8,3.0,3.0,3.1,3.0,3.2,3.5,3.3,3.6,3.6,3.8,4.0,4.0,4.2,4.3,4.4,4.4
"DE",0.3,0.3,0.4,0.7,1.0,1.5,1.9,2.5,3.2,4.0,4.2,4.5,4.8,5.1,5.6,5.5,5.3,4.9,5.1,5.3,5.3,5.3,5.7,5.6,5.8,5.8,6.1,6.1,6.4,6.6,7.2,8.1,7.7,7.7,7.8,7.7,8.0,8.0,8.3,8.3,8.3,8.4
"GR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3
"HU",0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.9,1.0,1.0,0.9,1.0,0.9,0.9,0.8,0.9,0.9,1.0,1.1,1.0,1.1,1.1,1.0,1.2,1.1,1.2,1.2,1.3,1.2
"IS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"IE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4
"IT",0.8,0.9,0.9,1.0,1.2,1.3,1.3,1.3,1.5,1.7,1.9,2.4,2.3,2.4,2.5,2.5,2.5,2.4,2.4,2.8,2.9,3.1,3.5,3.7,4.0,4.2,4.5,4.4,4.5,4.4,4.8,5.0,5.1,5.5,6.0,6.3,6.3,6.2,6.9,7.1,7.6,7.5
"KZ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.8,1.0,1.1,1.1,1.1,1.2,1.3,1.3,1.3,1.0,1.0,0.9,0.7,0.7,0.8,0.9,1.0,1.1,1.3,1.5,1.9,2.0
"LT","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"NL",0.2,0.3,0.6,1.0,1.4,2.1,2.6,3.1,3.5,3.5,3.6,3.5,3.6,3.5,3.6,3.2,3.2,3.3,3.2,3.3,3.5,3.5,3.6,3.3,3.4,3.3,3.7,3.5,3.7,3.6,3.7,4.0,3.8,3.7,3.7,3.8,3.8,3.8,3.9,4.0,3.8,3.7
"NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4
"PL",0.2,0.2,0.2,0.3,0.4,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.1,1.3,1.3,1.3
"PT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4
"RO",1.5,1.6,1.8,1.9,2.2,2.2,2.4,2.4,2.6,2.7,2.9,3.2,3.4,3.5,3.4,3.5,3.7,3.7,3.7,3.7,3.4,3.5,3.4,3.4,3.4,3.0,2.4,2.4,2.4,2.3,2.3,2.3,1.9,1.8,1.7,1.7,1.6,1.7,1.8,1.7,1.7,1.6
"RU","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",34.9,35.4,37.4,39.4,40.0,40.7,41.7,40.3,40.3,37.8,36.6,36.7,33.9,35.3,35.2,36.4,36.1,37.6,38.0,38.8,39.2,41.8
"SK",0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.5
"ES",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.9,1.2,1.3,1.5,1.6,1.8,2.0,2.3,2.6,3.1,3.2
"SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"CH",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
