title         = ASCII CSV version of CO2 emissions data from the 2010 British Petroleum Statistical Review (worksheet 41)
file URL      = http://mazamascience.com/OilExport/BP_2010_co2_emissions_mtco2.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2010_downloads/Statistical_Review_of_World_Energy_2010.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = thousand barrels per day

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"AZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",53.4,57.7,55.8,56.1,57.0,58.8,56.4,48.7,42.3,38.9,36.6,30.3,28.8,28.9,29.0,30.5,28.2,27.2,29.5,31.7,34.6,34.0,30.7,30.2,24.8
"BY","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",100.5,115.5,117.4,118.3,114.1,109.0,107.5,100.3,78.9,65.1,58.2,58.6,59.7,58.6,54.9,55.1,55.8,56.2,55.9,61.2,60.9,64.9,62.3,66.6,62.9
"BP_BELU",128.5,123.6,129.1,140.6,152.0,160.4,154.9,162.8,159.5,156.5,139.1,147.1,147.0,150.6,151.0,148.5,141.4,133.8,121.3,125.8,126.7,126.6,129.2,131.5,135.6,139.6,145.0,144.7,138.7,138.9,144.9,148.1,149.3,157.6,157.7,165.5,159.8,160.8,171.2,178.2,181.5,186.2,183.1,177.8,172.8
"BG",35.2,37.7,43.5,49.1,53.7,60.2,62.3,64.3,66.3,67.5,72.6,73.4,75.9,79.5,82.2,86.3,82.8,84.3,83.3,82.5,82.6,85.3,85.2,84.0,85.6,74.8,58.5,56.6,60.1,56.3,58.6,61.4,53.3,54.6,46.2,43.7,45.9,45.2,49.8,47.7,49.0,51.1,53.4,51.1,43.7
"CZ",152.9,153.8,150.9,157.4,164.4,170.2,178.7,179.0,179.2,179.9,186.4,191.8,197.6,200.1,201.5,195.7,194.1,192.5,191.1,196.8,192.8,191.6,190.9,191.5,184.5,169.9,154.7,133.5,127.4,126.9,132.8,137.1,132.7,124.6,118.6,125.0,128.5,125.0,127.3,129.6,129.2,126.6,124.5,117.7,109.5
"DK",39.6,44.8,46.3,51.8,59.3,64.5,61.9,64.7,62.2,57.6,57.9,61.4,64.1,63.0,65.3,65.1,60.7,56.1,53.4,56.9,62.3,63.5,60.8,60.4,54.2,55.8,65.8,59.4,63.5,68.4,65.7,79.4,69.8,65.0,61.9,58.1,57.5,56.8,61.8,56.9,53.4,61.6,56.8,53.4,50.3
"FI",25.5,28.6,29.3,33.8,39.6,42.7,42.9,43.5,48.8,44.6,45.3,51.2,50.4,54.4,55.5,56.0,46.4,43.5,44.6,45.0,48.8,48.7,52.2,51.5,51.0,51.8,52.1,48.3,48.8,54.6,49.4,54.7,55.9,53.5,54.6,54.7,56.8,59.4,67.5,62.4,54.3,61.8,59.0,54.2,52.5
"FR",355.5,353.1,382.8,395.6,432.2,460.9,475.6,498.3,544.1,531.9,483.5,530.2,517.7,534.9,530.8,502.4,460.8,450.5,426.7,418.4,404.4,398.5,395.4,387.1,406.2,412.0,434.7,427.2,406.0,390.4,400.6,416.6,407.8,434.3,433.0,429.5,429.6,419.9,429.1,434.7,431.1,422.2,419.0,418.7,398.7
"DE",918.6,908.1,899.1,951.3,1018.3,1058.3,1056.4,1076.3,1127.2,1091.7,1038.4,1102.8,1090.2,1120.5,1176.4,1126.2,1085.1,1049.1,1048.2,1076.6,1088.0,1092.3,1081.9,1074.9,1046.5,1030.5,990.2,958.9,946.6,936.8,930.9,954.3,929.9,923.4,893.5,902.5,915.6,900.9,910.2,900.1,883.3,894.3,859.8,853.9,795.6
"GR",22.0,23.2,25.4,26.8,27.7,30.6,37.5,42.1,49.2,48.3,56.1,62.7,65.2,64.5,53.7,53.7,52.1,52.3,54.4,56.7,60.9,60.4,66.8,71.5,77.7,80.3,79.4,82.8,82.6,85.0,86.7,86.9,87.4,92.6,96.6,102.0,102.9,105.7,102.7,107.2,106.0,106.8,108.9,106.9,100.4
"HU",57.0,57.2,53.3,54.6,57.7,61.2,62.8,63.9,68.2,69.4,72.5,76.6,80.0,84.8,83.7,83.1,82.1,82.4,78.8,79.5,82.0,80.4,81.7,77.2,74.1,70.9,67.8,60.5,58.3,59.1,59.1,60.3,59.4,59.1,58.8,56.5,59.2,56.9,60.5,59.6,62.1,62.1,60.3,59.1,53.6
"IS",1.5,1.7,1.6,1.6,1.6,1.7,1.7,1.7,2.0,1.8,1.8,1.8,1.8,1.9,1.9,1.7,1.6,1.6,1.5,1.4,1.8,1.9,2.0,2.1,2.3,2.3,2.2,2.3,2.4,2.5,2.6,2.7,2.9,2.9,3.0,3.2,3.1,3.2,3.1,3.3,3.5,3.4,4.1,3.5,3.5
"IE",16.3,18.3,19.7,22.6,22.8,16.1,16.8,17.9,19.9,19.7,17.9,18.2,19.5,20.7,23.4,22.2,21.6,20.9,20.5,20.5,20.8,24.3,24.9,24.3,25.5,26.2,27.5,27.5,28.2,29.2,30.1,32.3,33.9,36.6,39.0,40.5,43.4,42.6,41.5,42.8,44.0,44.4,45.0,43.8,40.1
"IT",211.7,231.7,254.9,276.1,302.2,336.0,355.2,365.4,387.3,385.1,371.3,393.5,383.5,397.7,412.9,403.9,398.1,387.1,380.2,383.1,382.6,391.8,410.5,416.3,431.5,434.9,435.7,435.5,422.9,422.0,448.2,442.4,446.0,457.5,467.1,475.6,476.5,477.9,493.7,499.1,500.6,497.7,490.4,477.5,434.8
"KZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",231.6,237.5,242.8,251.2,245.3,250.9,244.9,248.3,219.2,195.5,167.8,152.1,134.8,131.2,116.4,134.7,134.9,141.4,157.3,169.6,181.4,189.1,198.7,215.2,209.2
"LT","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",37.6,33.7,36.2,35.7,36.7,37.1,39.0,21.4,15.3,15.2,14.8,15.8,16.1,16.8,15.0,13.3,14.7,14.3,14.6,15.1,16.1,16.4,17.1,17.0,15.3
"NL",118.3,123.8,128.9,139.9,152.7,166.7,171.3,195.7,206.3,191.8,191.7,210.5,206.1,208.8,218.6,205.9,195.2,182.9,181.5,190.1,196.3,205.4,209.7,213.7,213.2,221.2,227.0,224.6,228.8,229.5,239.9,244.5,246.3,244.9,238.9,247.3,255.5,256.7,259.4,267.6,273.4,274.1,279.0,272.8,265.1
"NO",19.5,21.6,22.2,24.3,27.0,29.6,29.0,29.4,28.3,26.0,27.0,29.6,30.1,31.0,32.3,31.6,30.4,29.3,29.5,30.9,32.1,33.1,34.4,34.0,33.9,34.7,33.5,34.7,36.9,38.2,38.4,40.2,41.8,41.4,41.1,40.0,39.9,39.5,41.6,41.4,41.1,41.6,42.0,41.4,39.9
"PL",255.6,260.1,266.8,285.1,303.0,317.4,326.9,344.2,349.6,360.4,389.1,409.6,426.2,447.3,453.6,475.7,427.7,437.5,438.6,456.5,466.6,479.6,495.6,485.2,466.1,387.3,371.8,349.3,355.4,351.2,350.7,364.9,355.7,335.8,324.4,312.8,313.3,307.9,313.5,319.1,316.6,330.5,332.5,328.5,320.4
"PT",10.8,11.3,12.2,12.7,13.8,16.0,18.4,19.5,21.4,21.9,22.6,23.5,23.3,24.4,26.6,27.4,28.7,30.5,30.7,31.1,29.9,34.8,34.8,35.4,44.3,45.2,47.1,51.3,49.9,50.5,56.5,53.0,57.0,63.4,68.0,70.6,68.3,72.6,67.8,69.9,73.1,67.8,66.5,64.0,62.7
"RO",70.2,74.9,83.4,88.8,101.7,108.2,113.6,118.8,129.9,131.6,143.7,154.2,164.9,179.4,181.8,184.0,183.1,182.9,189.5,186.5,188.1,193.9,202.9,205.4,209.7,168.7,138.2,133.4,128.3,122.9,130.6,128.7,117.4,104.1,91.9,94.7,95.9,99.1,98.4,99.5,99.5,103.7,94.9,95.0,83.7
"RU","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",2265.8,2303.0,2371.6,2392.7,2394.6,2343.4,2286.9,2157.3,1989.5,1801.7,1696.1,1638.1,1538.9,1526.3,1533.1,1544.2,1555.2,1564.4,1604.2,1605.8,1593.3,1636.4,1650.0,1680.8,1535.3
"SK",30.7,31.8,32.0,34.3,36.5,39.1,41.8,43.2,44.4,45.5,48.4,50.9,53.6,55.0,56.3,55.5,55.3,53.6,54.0,57.2,57.4,57.0,56.4,56.5,57.4,54.9,49.7,48.2,43.1,40.6,42.3,43.2,42.1,42.8,41.0,40.1,40.8,40.5,40.3,38.9,41.2,40.0,39.9,40.1,38.1
"ES",76.0,81.6,92.2,98.4,107.6,119.8,129.5,136.6,156.0,163.8,170.3,191.0,185.1,187.3,197.4,220.3,226.6,223.3,228.3,218.2,212.5,211.9,216.8,210.1,238.7,236.7,239.1,251.6,243.3,250.5,263.9,261.4,286.3,301.6,322.7,336.3,339.1,357.2,362.8,379.5,394.2,384.1,396.3,380.0,338.7
"SE",62.8,70.8,69.1,77.4,86.6,95.6,90.0,91.9,95.0,87.9,87.1,96.5,91.9,87.4,90.9,82.8,74.9,69.3,65.2,64.0,68.0,69.4,64.0,61.4,59.1,60.4,58.6,60.5,59.6,62.3,59.4,64.7,59.6,59.6,59.0,55.7,56.2,56.8,59.2,57.7,56.6,58.5,56.0,54.3,50.9
"CH",29.3,30.0,31.3,34.1,36.7,40.1,41.9,42.9,46.1,41.3,40.0,41.5,42.0,43.2,41.8,42.3,40.2,38.1,41.4,40.9,41.6,45.0,42.7,42.7,41.4,44.3,45.2,45.6,43.1,44.4,42.0,43.6,45.1,45.7,44.7,43.7,46.6,44.3,43.7,43.7,44.6,45.3,41.4,44.1,44.5
"TR",29.9,30.1,31.5,35.1,38.2,40.3,44.6,48.6,56.2,57.4,60.5,68.4,72.8,68.4,70.9,75.0,76.6,82.4,84.0,90.8,93.4,113.3,128.7,135.7,143.0,141.6,142.9,156.8,167.2,160.0,170.7,189.8,201.0,207.6,206.0,227.0,211.8,214.9,225.9,233.0,252.9,268.8,290.5,293.6,264.1
"TM","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",33.7,40.7,40.5,40.7,41.9,35.1,36.3,35.7,28.3,30.0,24.8,29.8,30.0,31.4,34.2,36.7,37.7,38.9,43.0,44.7,47.5,55.0,60.3,56.1,57.9
"UA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",680.5,689.4,698.9,677.5,647.1,751.7,671.5,596.3,489.7,411.0,380.9,344.2,345.3,331.0,341.3,340.4,342.5,335.3,341.8,343.4,336.0,342.5,338.2,333.3,280.8
"GB",694.5,688.1,677.9,697.5,714.4,722.1,695.6,689.1,726.4,675.3,639.8,647.2,655.1,656.9,687.9,624.1,605.0,588.5,585.3,564.1,596.2,617.8,620.5,621.8,614.7,622.4,630.6,617.9,604.5,591.3,588.4,606.9,584.9,586.1,577.2,591.3,598.5,582.0,595.0,601.7,603.2,604.4,587.0,577.9,529.1
"UZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",116.1,117.5,118.8,122.7,127.4,122.7,124.1,113.8,114.1,112.6,112.4,113.1,118.9,122.2,125.2,120.5,128.4,130.3,122.1,116.4,110.8,108.2,117.3,123.5,123.5
"BP_OEE",2115.1,2235.2,2328.4,2377.3,2422.4,2517.4,2637.8,2792.4,2902.6,3032.4,3177.2,3298.6,3416.1,3542.4,3607.6,3498.1,3516.7,3600.4,3641.1,3708.8,290.6,292.2,291.9,300.4,293.1,313.4,248.8,220.3,193.6,161.1,165.4,172.1,185.5,184.0,158.1,158.0,161.5,171.9,180.3,186.4,183.6,177.4,183.9,187.0,178.9
"BP_TEE",5516.6,5681.4,5851.6,6109.4,6417.9,6724.7,6899.0,7187.7,7535.1,7544.6,7595.0,7990.8,8116.3,8363.0,8565.4,8328.5,8143.2,8126.7,8126.3,8237.6,8401.8,8569.9,8719.8,8725.4,8710.1,8649.5,8377.1,8013.1,7576.1,7202.3,7110.3,7135.6,6989.1,6992.5,6919.6,7015.6,7072.7,7075.9,7249.6,7322.4,7334.5,7435.2,7420.7,7389.2,6850.2
