title         = ASCII CSV version of Solar data from the 2010 British Petroleum Statistical Review (worksheet 45)
file URL      = http://mazamascience.com/OilExport/BP_2010_solar.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2010_downloads/Statistical_Review_of_World_Energy_2010.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"BP_TEU","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",74.3,95.3,116.5,143.4,200.3,301.1,420.8,624.4,1283.4,2245.8,3217.8,5012.4,10428.7,16065.8
"AU","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",15.7,18.7,22.5,25.3,29.2,33.6,39.1,45.6,52.3,60.6,70.3,82.5,104.5,170.5
"CN","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",1.0,2.5,5.0,10.0,19.0,30.0,45.0,55.0,64.0,68.0,80.0,100.0,145.0,305.0
"IL","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,1.3,1.8,3.0,21.0
"IN","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.0,0.0,0.0,0.0,1.0,2.0,3.5,6.0,10.0,18.0,30.0,50.0,90.0,120.0
"JP","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",59.6,91.3,133.4,208.6,330.2,452.8,636.8,859.6,1132.0,1421.9,1708.5,1918.9,2144.2,2628.2
"KR","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",2.1,2.5,3.0,3.5,4.0,4.8,5.4,6.0,8.5,13.5,35.8,81.2,357.5,525.5
"MY","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,7.0,8.8,13.3
"BP_REST_WORLD","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",226.3,291.9,368.8,486.9,682.3,724.0,786.5,850.6,884.6,923.0,961.4,1041.6,1094.4,1308.4
"BP_TOTAL_OTHERS","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",304.7,406.9,532.7,734.3,1065.7,1247.2,1516.3,1822.8,2152.3,2506.0,2892.8,3283.0,3947.4,5091.9
"BP_WORLD","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",468.1,604.9,765.8,1013.6,1425.9,1739.9,2175.5,2751.3,3843.8,5266.2,6774.8,9172.5,15599.1,22928.9
