title         = ASCII CSV version of Hydro consumption data from the 2008 British Petroleum Statistical Review (worksheet 35)
file URL      = http://mazamascience.com/OilExport/BP_2008_hydro_consumption_twh.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/downloads/spreadsheets/statistical_review_full_report_workbook_2008.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = Terawatt-hours per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"BP_BELU",1.2,1.3,1.2,1.0,1.1,1.1,1.2,1.5,1.5,1.6,0.9,0.9,0.7,0.8,0.9,1.1,1.7,1.5,1.6,1.8,1.9,1.9,2.0,2.0,1.8,1.7,1.8,1.8,1.5,1.9,2.1,2.1,2.2,2.5,2.2,2.6,2.5,2.5,2.2,2.4,2.5,2.5,2.5
"BG",2.0,2.0,2.0,1.3,1.8,2.2,2.2,2.1,2.6,2.1,2.5,3.0,3.5,2.9,3.3,3.7,3.6,3.0,3.3,3.3,2.2,2.3,2.5,2.6,2.7,1.9,2.4,2.1,1.9,1.5,2.3,2.9,2.9,3.3,3.0,2.7,1.7,2.7,3.2,3.3,4.7,4.3,3.6
"CZ",2.2,2.1,1.9,1.5,1.2,1.7,1.2,1.3,1.1,1.7,1.8,1.4,2.0,1.8,2.3,2.4,2.1,1.7,1.7,1.3,1.7,1.9,2.5,2.1,1.6,1.5,1.3,1.6,1.6,1.8,2.3,2.4,2.1,1.9,2.2,2.3,2.5,2.8,1.8,2.6,3.0,3.3,2.5
"DK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"FI",9.5,10.6,11.8,10.6,8.8,9.5,10.7,9.9,10.1,12.1,12.2,9.4,12.1,9.7,10.9,10.2,13.7,13.1,13.6,13.2,12.3,12.4,13.8,13.4,13.0,10.9,13.2,15.1,13.5,11.8,12.9,11.8,12.0,14.7,12.7,14.6,13.6,10.7,9.4,14.9,13.7,11.5,14.0
"FR",46.9,52.2,45.4,50.4,53.0,56.7,48.9,48.9,47.7,56.2,60.1,48.8,76.6,68.8,67.3,70.2,73.0,71.3,70.9,67.5,64.1,65.3,72.9,78.8,50.6,57.4,61.5,72.5,67.9,81.0,75.9,70.2,67.5,66.0,77.7,72.5,79.4,66.7,64.9,65.1,56.8,61.5,63.6
"DE",17.3,18.7,17.9,18.0,15.2,19.0,15.3,14.9,16.8,19.2,18.4,15.2,18.9,19.8,19.8,20.3,21.7,21.4,20.6,20.2,19.4,20.3,22.3,22.5,20.7,19.7,18.5,21.1,21.5,22.5,24.2,21.7,20.9,21.2,23.3,26.0,27.8,28.4,24.1,27.5,27.3,26.8,27.5
"GR",0.8,1.9,1.8,1.5,2.3,2.9,2.9,3.0,2.5,2.2,2.2,2.1,2.1,3.3,4.0,3.8,3.3,3.5,2.3,2.9,2.8,3.3,3.0,2.6,2.2,2.0,3.2,2.4,2.5,2.9,3.8,4.5,4.1,3.9,4.8,4.1,2.7,3.5,5.3,5.2,5.6,6.6,3.3
"HU",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"IS",1.7,1.9,1.9,2.1,2.4,3.7,4.0,4.7,5.4,4.8,5.4,5.6,4.6,4.9,5.2,5.0,5.0,3.8,3.9,3.9,3.8,4.0,4.1,4.4,4.3,4.2,4.2,4.3,4.5,4.5,4.7,4.8,5.2,5.6,6.0,6.4,6.6,7.0,7.1,7.1,7.0,7.3,8.4
