title            = ASCII CSV version of crude prices from the 2009 British Petroleum Statistical Review (worksheet 10, years 1965-2007 only)
file URL         = http://mazamascience.com/OilExport/BP_2009_oil_crude_prices_since_1861.csv
original data    = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2009_downloads/statistical_review_of_world_energy_full_report_2009.xls
nominal_dollars  = money of the day
current_dollars  = 2008 dollars

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"nominal_dollars",1.80,1.80,1.80,1.80,1.80,1.80,2.24,2.48,3.29,11.58,11.53,12.80,13.92,14.02,31.61,36.83,35.93,32.97,29.55,28.78,27.56,14.43,18.44,14.92,18.23,23.73,20.00,19.32,16.97,15.82,17.02,20.67,19.09,12.72,17.97,28.50,24.44,25.02,28.83,38.27,54.52,65.14,72.39,97.26
"current_dollars",12.34,11.97,11.66,11.19,10.62,10.02,11.97,12.83,16.01,50.78,46.34,48.62,49.65,46.47,94.13,96.62,85.38,73.78,64.08,58.27,55.23,28.25,34.92,27.24,31.63,39.26,31.73,29.74,25.45,23.23,24.29,28.59,25.91,17.32,23.60,36.24,30.14,30.16,33.75,43.61,60.10,69.58,75.14,97.26
