title         = ASCII CSV version of Hydro consumption data from the 2009 British Petroleum Statistical Review (worksheet 36)
file URL      = http://mazamascience.com/OilExport/BP_2009_hydro_consumption_mtoe.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2009_downloads/statistical_review_of_world_energy_full_report_2009.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"BY","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BP_BELU",0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"BG",0.5,0.5,0.5,0.3,0.4,0.5,0.5,0.5,0.6,0.5,0.6,0.7,0.8,0.7,0.8,0.8,0.8,0.7,0.8,0.7,0.5,0.5,0.6,0.6,0.6,0.4,0.6,0.5,0.4,0.3,0.5,0.7,0.7,0.8,0.7,0.6,0.4,0.6,0.7,0.7,1.1,1.0,0.7,0.8
"CZ",0.5,0.5,0.4,0.3,0.3,0.4,0.3,0.3,0.2,0.4,0.4,0.3,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.3,0.4,0.4,0.6,0.5,0.4,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.6,0.6,0.4,0.6,0.7,0.7,0.6,0.5
"DK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"FI",2.2,2.4,2.7,2.4,2.0,2.2,2.4,2.2,2.3,2.7,2.8,2.1,2.7,2.2,2.5,2.3,3.1,3.0,3.1,3.0,2.8,2.8,3.1,3.0,3.0,2.5,3.0,3.4,3.0,2.7,2.9,2.7,2.7,3.3,2.9,3.3,3.1,2.4,2.1,3.4,3.1,2.6,3.2,3.9
"FR",10.6,11.8,10.3,11.4,12.0,12.8,11.1,11.0,10.8,12.7,13.6,11.0,17.3,15.5,15.0,15.7,16.3,16.0,15.7,14.9,14.1,14.3,16.1,17.4,10.6,12.2,13.0,15.6,14.7,17.8,16.5,15.0,14.4,14.1,16.6,15.3,17.0,13.9,13.5,13.5,11.8,12.7,13.3,14.3
"DE",3.7,4.0,3.8,3.8,3.1,4.0,3.0,3.0,3.4,4.0,3.9,3.1,4.0,4.2,4.2,4.3,4.5,4.5,4.2,4.2,3.9,4.2,4.6,4.5,4.1,3.9,3.3,3.9,4.0,4.2,4.5,3.8,3.9,3.9,4.4,4.9,5.3,5.4,4.3,4.7,4.6,4.4,4.7,4.4
"GR",0.2,0.4,0.4,0.3,0.5,0.7,0.7,0.7,0.6,0.5,0.5,0.5,0.5,0.7,0.9,0.9,0.8,0.8,0.5,0.6,0.6,0.8,0.7,0.6,0.5,0.5,0.7,0.5,0.6,0.7,0.9,1.0,0.9,0.9,1.1,0.9,0.6,0.8,1.2,1.2,1.3,1.5,0.8,0.8
"HU",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"IS",0.4,0.4,0.4,0.5,0.5,0.8,0.9,1.1,1.2,1.1,1.2,1.3,1.0,1.1,1.2,1.1,1.1,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.1,1.2,1.3,1.4,1.4,1.5,1.6,1.6,1.6,1.6,1.7,1.9,2.8
"IE",0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.2
"IT",10.4,10.7,10.4,10.4,10.1,9.9,9.6,10.3,8.5,8.2,8.1,9.4,12.4,10.3,9.7,9.2,9.4,9.1,9.1,9.3,9.3,9.3,8.9,9.2,7.7,7.2,9.6,9.6,9.4,10.1,8.6,9.5,9.4,9.3,10.3,10.0,10.6,8.9,8.3,9.6,8.2,8.4,7.3,8.8
"KZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",1.2,1.1,1.3,1.6,1.6,1.7,1.6,1.6,1.7,2.1,1.9,1.7,1.5,1.4,1.4,1.7,1.8,2.0,2.0,1.8,1.8,1.8,1.8,1.7
"LT","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"NL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"NO",11.2,11.0,12.1,13.6,13.0,13.1,14.5,15.4,16.7,17.3,17.5,18.6,16.3,18.3,20.1,19.0,21.1,21.0,24.0,24.1,23.3,21.9,23.5,24.8,26.9,27.5,25.0,26.5,27.1,25.5,27.7,23.5,25.1,26.3,27.6,32.2,27.4,29.4,24.0,24.7,30.9,27.1,30.6,31.8
"PL",0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.6,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.6,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1.0,1.0,0.9,1.0,0.9,0.7,0.8,0.9,0.7,0.7,0.6
"PT",0.9,1.2,1.3,1.2,1.5,1.3,1.4,1.7,1.8,1.8,1.4,1.2,2.3,2.4,2.5,2.2,2.0,2.2,1.8,2.3,2.4,1.9,2.1,2.8,1.4,2.1,2.1,1.1,2.0,2.4,1.9,3.4,3.0,3.0,1.7,2.7,3.3,1.9,3.6,2.3,1.2,2.7,2.3,1.6
"RO",0.2,0.2,0.3,0.4,0.5,0.6,1.0,1.7,1.7,1.9,2.0,1.8,2.1,2.4,2.6,2.9,2.9,2.7,2.3,2.6,2.7,2.4,2.5,3.1,2.9,2.5,3.2,2.6,2.9,3.0,3.8,3.6,4.0,4.3,4.1,3.3,3.4,3.6,3.0,3.7,4.6,4.2,3.6,3.9
"RU","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",36.1,37.2,36.8,36.4,36.1,37.8,38.0,39.1,39.6,39.8,40.1,34.9,35.6,35.9,36.4,37.4,39.8,37.1,35.6,40.8,39.6,39.6,40.4,37.8
"SK",0.5,0.5,0.4,0.4,0.3,0.4,0.3,0.4,0.3,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.4,0.6,0.5,0.6,0.5,0.6,0.6,0.4,0.5,0.9,1.0,1.2,1.0,1.0,1.0,1.1,1.1,1.2,1.2,0.8,1.0,1.1,1.0,1.0,1.0
"ES",4.5,6.3,5.2,5.6,7.0,6.4,7.3,7.9,6.5,7.0,5.9,4.7,9.0,9.1,10.5,6.7,5.0,6.0,6.1,7.1,7.1,6.0,6.2,8.0,4.4,5.8,6.2,4.2,5.5,6.3,5.2,9.2,8.2,8.4,6.4,7.7,9.3,5.2,9.3,7.2,4.0,5.8,6.0,3.8
